onset	duration	trial_type	trial	delay	sentence	detected_delay
35.4541	4.8923	baseline	1	0.004	This is a grand season for hikes on the road.	0
47.0876	5.1678	baseline	2	0.004	We talked of the side show in the circus.	0
56.6044	4.6967	baseline	3	0.004	Cars and busses stalled in snow drifts.	0
67.4712	4.7232	baseline	4	0.004	He ran half way to the hardware store.	0
79.2381	6.009	baseline	5	0.004	The clock struck to mark the third period.	0
91.6383	3.9342	baseline	6	0.004	A small creek cut across the field.	0
101.3551	4.4628	baseline	7	0.004	Those words were the cue for the actor to leave.	0
110.3222	4.4774	baseline	8	0.004	The set of china hit the floor with a crash.	0
121.0554	3.7738	baseline	9	0.004	The dune rose from the edge of the water.	0
129.539	3.8399	baseline	10	0.004	Use a pencil to write the first draft.	0
136.9556	3.8614	baseline	11	0.004	The grass curled around the fence post.	0
145.9225	3.2445	baseline	12	0.004	There are more than two factors here.	0
151.8896	3.1879	baseline	13	0.004	Always close the barn door tight.	0
158.4559	3.6679	baseline	14	0.004	The hat brim was wide and too droopy.	0
165.5561	3.4699	baseline	15	0.004	The Navy attacked the big task force.	0
175.1562	4.1552	baseline	16	0.004	See the cat glaring at the scared mouse.	0
185.373	3.376	baseline	17	0.004	The lawyer tried to lose his case.	0
193.0898	3.9211	baseline	18	0.004	Men strive but seldom get rich.	0
201.94	3.8527	baseline	19	0.004	He lay prone and hardly moved a limb.	0
210.2901	3.2768	baseline	20	0.004	Cut the pie into large parts.	0
217.3902	4.5426	random1	1	0.088	The beam dropped down on the workman's head.	1
237.7906	4.849	random1	2	0.09	Let's all join as we sing the last chorus.	1
250.374	4.3025	random1	3	0.122	The last switch cannot be turned off.	1
259.6409	4.3133	random1	4	0.233	Slide the box into that empty space.	1
267.791	4.1692	random1	5	0.115	She danced like a swan, tall and graceful.	1
276.3744	4.7035	random1	6	0.184	The tube was blown and the tire flat and useless.	1
285.0751	4.0008	random1	7	0.097	The plant grew large and green in the window.	1
292.458	3.5761	random1	8	0.198	Pink clouds floated with the breeze.	1
300.7914	4.1444	random1	9	0.142	The fight will end in just six minutes.	1
307.8248	3.8694	random1	10	0.005	It is late morning on the old wall clock.	0
318.5751	3.7565	random1	11	0.171	The old pan was covered with hard fudge.	1
328.3918	4.489	random1	12	0.058	The barrel of beer was a brew of malt and hops.	1
337.3753	3.6555	random1	13	0.078	Write fast if you want to finish early.	1
345.8589	6.1371	random1	14	0.08	The mute muffled the high tones of the horn.	1
355.6923	3.8778	random1	15	0.034	His shirt was clean but one button was gone.	1
365.7764	3.5672	random1	16	0.128	Watch the log float in the wide river.	1
373.4259	4.1878	random1	17	0.097	Tin cans are absent from store shelves.	1
382.143	4.9401	random1	18	0.137	The gold ring fits only a pierced ear.	1
390.5428	4.0506	random1	19	0.134	The node on the stalk of wheat grew daily.	1
401.1097	3.985	random1	20	0.245	The heap of fallen leaves was set on fire.	1
409.2764	3.9843	random1	21	0.113	Dill pickles are sour but taste fine.	1
416.1099	4.029	random1	22	0.123	Down that road is the way to the grain farmer.	1
422.66	4.4852	random1	23	0.233	The best method is to fix it in place with clips.	1
429.4267	4.9167	random1	24	0.192	At night the alarm roused him from a deep sleep.	1
438.6769	3.0326	random1	25	0.13	Read just what the meter says.	1
444.7936	3.8182	random1	26	0.172	Those last words were a strong statement.	1
452.2271	4.7186	random1	27	0.24	Either mud or dust are found at all times.	1
459.8938	4.0102	random1	28	0.111	He wrote his name boldly at the top of the sheet.	1
466.5107	3.3117	random1	29	0.04	If you mumble your speech will be lost.	1
472.8775	3.8232	random1	30	0.101	Fill your pack with bright trinkets for the poor.	1
479.4275	3.5036	random1	31	0.15	Help the woman get back to her feet.	1
485.511	3.6586	random1	32	0.061	The soft cushion broke the man's fall.	1
491.7277	3.7284	random1	33	0.121	A pot of tea helps to pass the evening.	1
499.5945	3.8195	random1	34	0.229	The source of the huge river is the clear spring.	1
507.0612	3.2631	random1	35	0.098	The boy was there when the sun rose.	1
514.0453	3.5732	random1	36	0.06	The salt breeze came across from the sea.	0
520.7615	3.3594	random1	37	0.083	A rod is used to catch pink salmon.	1
526.1448	4.3424	random1	38	0.216	The girl at the booth sold fifty bonds.	1
535.6784	3.7346	random1	39	0.11	Smoky fires lack flame and heat.	0
541.3951	3.1287	random1	40	0.233	Kick the ball straight and follow through.	1
546.7452	3.1611	random1	41	0.046	Acid burns holes in wool cloth.	1
553.062	3.4027	random1	42	0.167	A young child should not suffer fright.	1
558.6134	3.8898	random1	43	0.164	He carved a head from the round block of marble.	1
565.5122	3.1735	random1	44	0.01	Eight miles of woodland burned to waste.	0
571.3955	4.2163	random1	45	0.213	We admire and love a good cook.	1
581.7957	3.3259	random1	46	0.142	Fairy tales should be fun to write.	1
587.2291	4.6347	random1	47	0.252	There the flood mark is ten inches.	1
594.4459	4.1282	random1	48	0.217	The third act was dull and tired the players.	1
602.1293	3.4911	random1	49	0.124	She has a smart way of wearing clothes.	1
608.3128	2.6743	random1	50	0.015	Add the column and put the sum here.	0
614.2297	4.5154	adaption	1	0.204	Say it slowly but make it ring clear.	0
621.1963	3.6272	adaption	2	0.204	Hats are worn to tea and not to dinner.	1
627.1797	3.4024	adaption	3	0.204	Draw the chart with heavy black lines.	1
633.6799	3.7325	adaption	4	0.204	Seed is needed to plant the spring corn.	1
640.1966	5.1338	adaption	5	0.204	The chap slipped into the crowd and was lost.	1
649.0134	3.6672	adaption	6	0.204	The ramp led up to the wide highway.	1
655.0468	3.4883	adaption	7	0.204	The boy owed his pal thirty cents.	1
663.1803	3.8887	adaption	8	0.204	Screen the porch with woven straw mats.	1
669.247	3.7644	adaption	9	0.204	Beat the dust from the rug onto the lawn.	1
679.831	3.146	adaption	10	0.204	The straw nest housed five robins.	1
686.214	3.6732	adaption	11	0.204	We don't get much money but we have fun.	1
693.4808	3.0449	adaption	12	0.204	The kite flew wildly in the high wind.	1
699.5809	3.1111	adaption	13	0.204	We need an end of all such matter.	1
705.8643	3.978	adaption	14	0.204	A fur muff is stylish once more.	1
712.7643	3.6843	adaption	15	0.204	The youth drove with zest, but little skill.	1
719.2145	3.4245	adaption	16	0.204	Five years he lived with a shaggy dog.	1
725.1145	2.9312	adaption	17	0.204	The tin box held priceless stones.	1
730.848	2.8363	adaption	18	0.204	The case was puzzling to the old and wise.	1
739.3315	2.5026	adaption	19	0.204	A fence cuts through the corner lot.	0
743.8649	3.312	adaption	20	0.204	The bright lanterns were gay on the dark lawn.	1
749.0649	2.5188	adaption	21	0.204	Once we stood beside the shore.	0
754.5484	3.5298	adaption	22	0.204	He takes the oath of office each March.	1
760.0984	3.4823	adaption	23	0.204	The point of the steel pen was bent and twisted.	1
767.5819	3.301	adaption	24	0.204	A cold dip restores health and zest.	1
773.1986	3.8268	adaption	25	0.204	The sand drifts over the sills of the old house.	1
