onset	duration	trial_type	trial	delay	sentence	detected_delay
54.3191	3.6966	baseline	1	0.004	Heave the line over the port side.	0
70.7026	4.1168	baseline	2	0.004	It's a dense crowd in two distinct ways.	0
87.6695	3.8337	baseline	3	0.004	A cone costs five cents on Mondays.	0
100.1364	3.3958	baseline	4	0.004	It takes heat to bring out the odor.	0
113.5533	3.9354	baseline	5	0.004	Raise the sail and steer the ship northward.	0
125.3202	3.9015	baseline	6	0.004	A lathe cuts and trims any wood.	0
135.7703	3.8169	baseline	7	0.004	The desk was firm on the shaky floor.	0
150.6705	4.3208	baseline	8	0.004	His hip struck the knee of the next player.	1
165.2707	3.7171	baseline	9	0.004	The stale smell of old beer lingers.	1
180.8043	3.2116	baseline	10	0.004	Beef is scarcer than some lamb.	1
193.2878	3.7408	baseline	11	0.004	The lease ran out in sixteen weeks.	1
201.6713	3.8352	baseline	12	0.004	The horn of the car woke the sleeping cop.	0
209.9214	4.7188	baseline	13	0.004	The pearl was worn in a thin silver ring.	0
224.9216	3.5311	baseline	14	0.004	The two met while playing on the sand.	1
238.6552	4.3859	baseline	15	0.004	The ink stain dried on the finished page.	0
253.0887	4.2048	baseline	16	0.004	The heart beat strongly and with firm strokes.	0
262.4556	4.0755	baseline	17	0.004	A yacht slid around the point into the bay.	0
271.739	3.5259	baseline	18	0.004	The fruit peel was cut in thick slices.	0
278.9224	2.6849	baseline	19	0.004	A tame squirrel makes a nice pet.	0
285.8059	3.4315	baseline	20	0.004	The walled town was seized without a fight.	1
298.6727	4.9211	random1	1	0.129	They are pushed back each time they attack.	1
307.1895	4.2103	random1	2	0.167	Try to have the court decide the case.	1
313.5563	4.002	random1	3	0.088	Madam, this is the best brand of corn.	1
321.6231	4.773	random1	4	0.168	A waxed floor makes us lose balance.	1
331.2899	5.7835	random1	5	0.196	Whitings are small fish caught in nets.	1
340.1234	6.0597	random1	6	0.012	They floated on the raft to sun their white backs.	1
349.4068	4.8782	random1	7	0.108	He broke his ties with groups of former friends.	1
357.1236	3.6079	random1	8	0.039	Some ads serve to cheat buyers.	1
363.4737	4.24	random1	9	0.101	Jerk the rope and the bell rings weakly.	1
371.1905	4.6011	random1	10	0.185	The map had an X that meant nothing.	1
378.874	4.5876	random1	11	0.099	The room was crowded with a wild mob.	1
389.0908	4.8642	random1	12	0.232	Ripe pears are fit for a queen's table.	1
397.0409	6.7277	random1	13	0.024	The door was barred, locked, and bolted as well.	1
407.241	5.7092	random1	14	0.227	A big wet stain was on the round carpet.	1
415.7412	4.8151	random1	15	0.206	This strong arm shall shield your honor.	1
423.708	5.5421	random1	16	0.177	The kite dipped and swayed, but stayed aloft.	1
433.0581	5.0778	random1	17	0.173	The beetle droned in the hot June sun.	1
442.0416	4.7321	random1	18	0.11	She blushed when he gave her a white orchid.	1
454.9425	4.1881	random1	19	0.031	The little tales they tell are false.	0
462.8253	5.4071	random1	20	0.163	The pleasant hours fly by much too soon.	1
470.6587	5.3477	random1	21	0.182	The fur of cats goes by many names.	1
478.9594	5.0449	random1	22	0.187	Take two shares as a fair profit.	1
486.1922	5.1783	random1	23	0.076	A sash of gold silk will trim her dress.	1
494.5424	3.6744	random1	24	0.09	He asks no person to vouch for him.	0
