onset	duration	trial_type	trial	delay	sentence	detected_delay
22.031	4.2423	baseline	1	0.004	He offered proof in the form of a large chart.	0
29.4144	3.7292	baseline	2	0.004	Send the stuff in a thick paper bag.	0
35.8478	3.4943	baseline	3	0.004	A quart of milk is water for the most part.	0
42.3314	3.9049	baseline	4	0.004	The way to save money is not to spend much.	0
49.1821	3.5886	baseline	5	0.004	Crack the walnut with your sharp side teeth.	0
55.9315	3.6854	baseline	6	0.004	Shut the hatch before the waves push it in.	0
62.5649	3.6024	baseline	7	0.004	The three story house was built of stone.	0
69.1817	4.3918	baseline	8	0.004	The odor of spring makes young hearts jump.	0
76.7177	4.3499	baseline	9	0.004	In the rear of the ground floor was a large passage.	0
84.1986	3.7792	baseline	10	0.004	They told wild tales to frighten him.	0
91.032	4.144	baseline	11	0.004	The plant grew large and green in the window.	0
98.1655	3.9448	baseline	12	0.004	Pink clouds floated with the breeze.	0
106.7489	4.0792	baseline	13	0.004	She danced like a swan, tall and graceful.	0
114.1657	4.5884	baseline	14	0.004	The tube was blown and the tire flat and useless.	0
121.6825	4.3577	baseline	15	0.004	The fight will end in just six minutes.	0
129.216	4.2704	baseline	16	0.004	Let's all join as we sing the last chorus.	0
137.2994	3.6091	baseline	17	0.004	The last switch cannot be turned off.	0
145.4162	3.8582	baseline	18	0.004	The beam dropped down on the workman's head.	0
151.8829	3.7899	baseline	19	0.004	Slide the box into that empty space.	0
158.1666	3.8246	baseline	20	0.004	It is late morning on the old wall clock.	0
164.6331	5.4441	random1	1	0.152	Coax a young calf to drink from a bucket.	1
173.8666	4.9124	random1	2	0.222	A pencil with black lead writes best.	1
181.8834	5.0936	random1	3	0.239	Schools for ladies teach charm and grace.	1
190.6002	4.4787	random1	4	0.013	Rake the rubbish up and then burn it.	1
197.9671	4.9338	random1	5	0.106	The shaky barn fell with a loud crash.	1
205.8838	3.7115	random1	6	0.016	Jazz and swing fans like fast music.	0
212.4177	5.0316	random1	7	0.092	Slash the gold cloth into fine ribbons.	1
219.5673	4.8162	random1	8	0.08	They took the axe and the saw to the forest.	1
227.5674	4.3582	random1	9	0.21	The lamp shone with a steady green flame.	1
234.7675	3.6205	random1	10	0.014	The ancient coin was quite dull and worn.	0
240.901	3.0376	random1	11	0.006	The fly made its way along the wall.	0
246.651	3.9979	random1	12	0.21	The large house had hot water taps.	1
253.5845	5.2144	random1	13	0.176	The loss of the second ship was hard to take.	1
261.9847	5.0841	random1	14	0.117	The doorknob was made of bright clean brass.	1
268.8681	3.8952	random1	15	0.102	The wreck occurred by the bank on Main Street.	1
274.8682	3.9737	random1	16	0.124	Live wires should be kept covered.	1
282.3183	3.5858	random1	17	0.036	It is hard to erase blue or red ink.	0
288.7687	3.3499	random1	18	0.239	Write at once or you may forget it.	1
294.3184	3.5907	random1	19	0.195	The cement had dried when he moved it.	1
300.0519	2.616	random1	20	0.006	Do that with a wooden stick.	0
305.1353	4.9867	random1	21	0.162	They floated on the raft to sun their white backs.	1
313.3688	3.7275	random1	22	0.073	Some ads serve to cheat buyers.	1
319.6522	4.1223	random1	23	0.095	Jerk the rope and the bell rings weakly.	1
325.5856	3.6916	random1	24	0.161	They are pushed back each time they attack.	1
331.7357	3.8519	random1	25	0.142	The map had an X that meant nothing.	1
338.2358	3.8381	random1	26	0.196	Try to have the court decide the case.	1
343.9525	4.5118	random1	27	0.107	He broke his ties with groups of former friends.	1
350.3526	4.2783	random1	28	0.175	Whitings are small fish caught in nets.	1
356.5861	4.2272	random1	29	0.148	A waxed floor makes us lose balance.	1
362.8694	3.4785	random1	30	0.047	Madam, this is the best brand of corn.	0
368.153	4.2013	random1	31	0.157	Screen the porch with woven straw mats.	1
374.4696	3.9233	random1	32	0.081	The boy owed his pal thirty cents.	0
380.6364	4.0269	random1	33	0.117	The straw nest housed five robins.	1
386.5032	3.8626	random1	34	0.049	Seed is needed to plant the spring corn.	0
393.6199	3.6961	random1	35	0.18	Draw the chart with heavy black lines.	1
398.8033	3.5275	random1	36	0.172	Say it slowly but make it ring clear.	1
404.6368	3.9564	random1	37	0.055	The chap slipped into the crowd and was lost.	0
410.1869	3.477	random1	38	0.004	Hats are worn to tea and not to dinner.	0
415.1703	4.1803	random1	39	0.096	The ramp led up to the wide highway.	1
421.9704	4.3945	random1	40	0.101	Beat the dust from the rug onto the lawn.	1
428.5539	3.8574	random1	41	0.093	Boards will warp unless kept dry.	1
434.4206	3.6292	random1	42	0.102	Pack the records in a neat thin case.	1
440.3873	3.5012	random1	43	0.209	We need grain to keep our mules healthy.	1
445.6041	3.547	random1	44	0.181	Fill the ink jar with sticky glue.	1
451.4708	3.0949	random1	45	0.016	Glass will clink when struck by metal.	0
456.3543	4.098	random1	46	0.237	The copper bowl shone in the sun's rays.	1
462.2043	4.0226	random1	47	0.061	Bathe and relax in the cool green grass.	0
467.8044	4.1489	random1	48	0.035	He smoke a big pipe with strong contents.	0
473.6878	4.352	random1	49	0.131	The crunch of feet in the snow was the only sound.	1
480.438	4.1362	random1	50	0.145	The plush chair leaned against the wall.	1
487.3714	3.7051	adaption	1	0.204	A filing case is now hard to buy.	1
494.1214	4.6812	adaption	2	0.204	Wood is best for making toys and blocks.	1
502.0239	3.9769	adaption	3	0.204	An abrupt start does not win the prize.	1
508.4717	4.5753	adaption	4	0.204	He knew the skill of the great young actress.	1
515.0724	3.8132	adaption	5	0.204	A rag will soak up spilled water.	1
521.6719	4.316	adaption	6	0.204	The jacket hung on the back of the wide chair.	1
528.022	4.3802	adaption	7	0.204	A shower of dirt fell from the hot pipes.	1
534.4721	4.0965	adaption	8	0.204	Drop the two when you add the figures.	1
541.0222	4.5927	adaption	9	0.204	The office paint was a dull, sad tan.	1
548.3556	4.0176	adaption	10	0.204	At that high level the air is pure.	1
555.1225	4.3209	adaption	11	0.204	Crouch before you jump or miss the mark.	1
561.7893	3.5486	adaption	12	0.204	Bad nerves are jangled by a door slam.	1
567.9892	4.0191	adaption	13	0.204	Tear a thin sheet from the yellow pad.	1
574.4727	4.4538	adaption	14	0.204	A streak of color ran down the left edge.	1
581.2228	4.0541	adaption	15	0.204	The square peg will settle in the round hole.	1
586.6562	3.3315	adaption	16	0.204	Fine soap saves tender skin.	1
593.273	5.9365	adaption	17	0.204	A cruise in warm waters in a sleek yacht is fun.	1
601.5898	3.73	adaption	18	0.204	Pack the kits and don't forget the salt.	1
607.9732	3.3612	adaption	19	0.204	Poached eggs and tea must suffice.	1
614.2403	3.3085	adaption	20	0.204	It was done before the boy could see it.	1
619.8068	3.3407	adaption	21	0.204	Go now and come here later.	1
625.6735	3.6243	adaption	22	0.204	Mark the spot with a sign painted red.	1
632.277	4.675	adaption	23	0.204	A sash of gold silk will trim her dress.	1
638.7571	2.8897	adaption	24	0.204	Soap can wash most dirt away.	1
643.8075	3.2699	adaption	25	0.204	Take two shares as a fair profit.	1
649.0738	3.1624	adaption	26	0.204	That move means the game is over.	1
654.0239	3.9867	adaption	27	0.204	The fur of cats goes by many names.	1
660.174	3.6592	adaption	28	0.204	He asks no person to vouch for him.	1
665.4741	3.2939	adaption	29	0.204	North winds bring colds and fevers.	1
670.4408	3.8858	adaption	30	0.204	It takes a lot of help to finish these.	1
676.7909	3.2302	adaption	31	0.204	Next Sunday is the twelfth of the month.	1
682.6577	3.7298	adaption	32	0.204	The brass tube circled the high wall.	1
688.3578	3.9962	adaption	33	0.204	Wake and rise, and step into the green outdoors.	1
694.7912	5.4169	adaption	34	0.204	It was hidden from sight by a mass of leaves and shrubs.	1
702.008	4.1826	adaption	35	0.204	It is a band of steel three inches wide.	1
708.6581	4.1469	adaption	36	0.204	The lobes of her ears were pierced to hold rings.	1
714.9582	4.1171	adaption	37	0.204	The green light in the brown box flickered.	1
721.6749	4.8946	adaption	38	0.204	The weight of the package was seen on the high scale.	1
728.625	4.087	adaption	39	0.204	Hold the hammer near the end to drive the nail.	1
735.0418	4.3884	adaption	40	0.204	The pipe ran almost the length of the ditch.	1
741.4752	3.6496	adaption	41	0.204	A thin stripe runs down the middle.	1
746.9254	4.038	adaption	42	0.204	He lent his coat to the tall gaunt stranger.	1
753.2087	3.9211	adaption	43	0.204	Greet the new guests and leave quickly.	1
759.2255	4.1348	adaption	44	0.204	A six comes up more often than a ten.	1
766.1756	3.879	adaption	45	0.204	A plea for funds seems to come again.	1
772.1924	4.5165	adaption	46	0.204	The duke left the park in a silver coach.	1
778.5595	3.652	adaption	47	0.204	Sweet words work better than fierce.	1
784.2592	3.6949	adaption	48	0.204	Lush ferns grow on the lofty rocks.	1
791.0427	4.4775	adaption	49	0.204	When the frost has come it is time for turkey.	1
797.2261	3.9086	adaption	50	0.204	There is a strong chance it will happen once more.	1
803.1101	3.1674	adaption	51	0.204	Always close the barn door tight.	1
808.9262	3.8936	adaption	52	0.204	He lay prone and hardly moved a limb.	1
815.3264	3.5479	adaption	53	0.204	Men strive but seldom get rich.	1
820.4597	3.1495	adaption	54	0.204	There are more than two factors here.	1
826.9932	4.526	adaption	55	0.204	The grass curled around the fence post.	1
