onset	duration	trial_type	trial	delay	sentence	detected_delay
26.4754	4.5102	baseline	1	0.004	The empty flask stood on the tin tray.	0
38.0091	4.0457	baseline	2	0.004	The urge to write short stories is rare.	0
45.8423	4.6504	baseline	3	0.004	The sofa cushion is red and of light weight.	1
52.759	3.7803	baseline	4	0.004	He broke a new shoelace that day.	0
58.7758	4.4737	baseline	5	0.004	She sewed the torn coat quite neatly.	0
65.6927	4.0192	baseline	6	0.004	We tried to replace the coin but failed.	0
72.5933	4.4047	baseline	7	0.004	The pirates seized the crew of the lost ship.	0
79.9928	3.7555	baseline	8	0.004	The pencils have all been used.	0
88.6929	3.8612	baseline	9	0.004	A speedy man can beat this track mark.	0
97.1431	3.7929	baseline	10	0.004	The coffee stand is too high for the couch.	0
104.9265	4.4075	baseline	11	0.004	The three story house was built of stone.	0
112.0934	4.5427	baseline	12	0.004	Crack the walnut with your sharp side teeth.	0
120.8768	4.1572	baseline	13	0.004	He offered proof in the form of a large chart.	0
128.5436	4.6164	baseline	14	0.004	The odor of spring makes young hearts jump.	0
136.0104	3.9158	baseline	15	0.004	They told wild tales to frighten him.	0
146.3271	3.9245	baseline	16	0.004	Shut the hatch before the waves push it in.	0
153.0273	5.1023	baseline	17	0.004	In the rear of the ground floor was a large passage.	0
160.094	3.4982	baseline	18	0.004	Send the stuff in a thick paper bag.	0
167.2942	4.544	baseline	19	0.004	The way to save money is not to spend much.	0
174.6276	4.1688	baseline	20	0.004	A quart of milk is water for the most part.	0
182.3778	5.1685	random1	1	0.174	A good book informs of what we ought to know.	1
190.0779	3.3148	random1	2	0.034	The poor boy missed the boat again.	0
196.4613	4.6735	random1	3	0.185	The mail comes in three batches per day.	1
206.478	3.9344	random1	4	0.08	You cannot brew tea in a cold pot.	1
213.6615	4.341	random1	5	0.232	Pick a card and slip it under the pack.	1
220.2116	4.4053	random1	6	0.211	Cap the jar with a tight brass cover.	1
227.5784	4.4846	random1	7	0.13	The first part of the plan needs changing.	1
235.1452	3.8601	random1	8	0.064	A round mat will cover the dull spot.	0
241.2952	4.2444	random1	9	0.231	Be sure to set that lamp firmly in the hole.	1
249.6954	3.2183	random1	10	0.057	Hang tinsel from both branches.	0
256.8455	4.834	random1	11	0.147	Schools for ladies teach charm and grace.	1
266.0956	4.2378	random1	12	0.036	Coax a young calf to drink from a bucket.	0
272.8291	3.8467	random1	13	0.014	The lamp shone with a steady green flame.	0
279.3458	3.9923	random1	14	0.096	A pencil with black lead writes best.	1
286.0626	5.1855	random1	15	0.182	They took the axe and the saw to the forest.	1
293.5627	4.4517	random1	16	0.084	The shaky barn fell with a loud crash.	1
300.2961	4.0047	random1	17	0.065	The ancient coin was quite dull and worn.	1
306.7129	4.2583	random1	18	0.24	Jazz and swing fans like fast music.	1
312.7964	3.9973	random1	19	0.067	Rake the rubbish up and then burn it.	1
319.6298	4.9939	random1	20	0.194	Slash the gold cloth into fine ribbons.	1
327.3299	4.9959	random1	21	0.235	Men think and plan and sometimes act.	1
334.73	5.1458	random1	22	0.188	Screw the round cap on as tight as needed.	1
342.6468	4.5072	random1	23	0.036	Paper is scarce, so write with much care.	0
349.8469	3.8335	random1	24	0.031	The rise to fame of a person takes luck.	0
355.9304	3.1247	random1	25	0.011	Time brings us many changes.	0
361.4637	4.4776	random1	26	0.044	The nozzle of the fire hose was bright brass.	0
368.6309	4.4126	random1	27	0.099	The peace league met to discuss their plans.	1
