onset	duration	trial_type	trial	delay	sentence	detected_delay
87.6809	2.936	baseline	1	0.004	The clothes dried on a thin wooden rack.	0
93.681	2.9503	baseline	2	0.004	The cleat sank deeply into the soft turf.	1
100.1144	3.0513	baseline	3	0.004	To have is better than to wait and hope.	1
106.5812	3.0469	baseline	4	0.004	Turn out the lantern which gives us light.	0
113.398	3.5083	baseline	5	0.004	The bills were mailed promptly on the tenth of the month.	1
120.4647	3.4718	baseline	6	0.004	A clean neck means a neat collar.	1
128.5482	3.9621	baseline	7	0.004	The price is fair for a good antique clock.	0
137.8817	3.6344	baseline	8	0.004	The couch cover and hall drapes were blue.	0
145.2652	4.5208	baseline	9	0.004	The stems of the tall glasses cracked and broke.	1
154.8486	3.5112	baseline	10	0.004	The wall phone rang loud and often.	1
162.7987	3.879	baseline	11	0.004	Dimes showered down from all sides.	1
173.1156	3.3116	baseline	12	0.004	The knife was hung inside its bright sheath.	0
179.1489	3.077	baseline	13	0.004	They sang the same tunes at each party.	0
185.3823	3.1059	baseline	14	0.004	Pile the coal high in the shed corner.	1
191.9659	3.2726	baseline	15	0.004	The horse balked and threw the tall rider.	1
199.466	3.5945	baseline	16	0.004	The sky in the west is tinged with orange red.	0
206.5327	3.5421	baseline	17	0.004	The hitch between the horse and cart broke.	1
214.4495	3.8393	baseline	18	0.004	Ship maps are different from those for planes.	0
222.1329	3.514	baseline	19	0.004	A gold vase is both rare and costly.	1
231.7998	3.5727	baseline	20	0.004	The pods of peas ferment in bare fields.	0
239.0499	4.6644	random1	1	0.156	In the rear of the ground floor was a large passage.	1
246.8666	3.542	random1	2	0.007	Send the stuff in a thick paper bag.	0
253.7667	3.6482	random1	3	0.11	Crack the walnut with your sharp side teeth.	1
260.6835	4.2415	random1	4	0.216	The odor of spring makes young hearts jump.	1
267.451	3.4645	random1	5	0.103	They told wild tales to frighten him.	1
273.5004	3.8615	random1	6	0.165	The three story house was built of stone.	1
280.7338	5.122	random1	7	0.119	He offered proof in the form of a large chart.	1
288.9693	3.8047	random1	8	0.134	A quart of milk is water for the most part.	1
295.9507	3.8137	random1	9	0.14	Shut the hatch before the waves push it in.	1
301.6508	3.848	random1	10	0.216	The way to save money is not to spend much.	1
309.3009	4.0599	random1	11	0.14	Fruit flavors are used in fizz drinks.	1
315.8343	3.4691	random1	12	0.004	Ducks fly north but lack a compass.	0
322.3011	3.3286	random1	13	0.141	The prince ordered his head chopped off.	1
328.4179	3.3224	random1	14	0.159	Both brothers wear the same size.	1
334.0514	3.4874	random1	15	0.231	These pills do less good than others.	1
340.5014	3.6357	random1	16	0.078	In some form or other we need fun.	0
347.2681	3.7154	random1	17	0.012	The houses are built of red clay bricks.	0
353.4849	3.425	random1	18	0.027	They are men who walk the middle of the road.	0
359.5683	3.636	random1	19	0.241	Canned pears lack full flavor.	1
366.1851	3.9375	random1	20	0.042	Yell and clap as the curtain slides back.	0
372.4852	3.9238	random1	21	0.218	A dash of pepper spoils beef stew.	1
379.9187	3.1686	random1	22	0.15	We are sure that one war is enough.	1
386.6021	4.2352	random1	23	0.137	Tea served from the brown jug is tasty.	1
394.0189	4.2406	random1	24	0.117	Carry the pail to the wall and spill it there.	1
401.4857	3.6521	random1	25	0.175	The dark pot hung in the front closet.	1
407.4524	3.6839	random1	26	0.09	The rude laugh filled the empty room.	1
413.2025	4.1721	random1	27	0.045	Gray paint stretched for miles around.	1
420.3026	4.0783	random1	28	0.116	A zestful food is the hot-cross bun.	1
426.7694	4.6737	random1	29	0.111	The train brought our hero to the big town.	1
434.6195	3.622	random1	30	0.042	High seats are best for football fans.	0
439.9696	3.5505	random1	31	0.1	The quick fox jumped on the sleeping cat.	0
445.6697	4.3288	random1	32	0.25	The store walls were lined with colored frocks.	1
452.7868	3.7541	random1	33	0.211	The peace league met to discuss their plans.	1
459.4033	3.4559	random1	34	0.147	Time brings us many changes.	1
465.6533	3.4284	random1	35	0.012	Screw the round cap on as tight as needed.	0
471.5867	3.4855	random1	36	0.247	The purple tie was ten years old.	1
477.6368	3.6579	random1	37	0.056	Paper is scarce, so write with much care.	0
484.0369	3.4642	random1	38	0.148	Men think and plan and sometimes act.	1
492.3871	4.1517	random1	39	0.029	The nozzle of the fire hose was bright brass.	0
499.0871	4.3619	random1	40	0.119	The rise to fame of a person takes luck.	1
505.8372	3.7943	random1	41	0.073	The stitch will serve but needs to be shortened.	1
512.6213	3.4805	random1	42	0.181	A thin book fits in the side pocket.	1
518.7874	3.0971	random1	43	0.026	Green ice frosted the punch bowl.	0
524.4042	3.5667	random1	44	0.181	A stuffed chair slipped from the moving van.	1
530.621	3.2845	random1	45	0.01	Our troops are set to strike heavy blows.	0
537.2544	3.8172	random1	46	0.15	The hail pattered on the burnt brown grass.	1
544.6545	3.4713	random1	47	0.223	The gloss on top made it unfit to read.	1
551.2545	4.0936	random1	48	0.206	The steady drip is worse than a drenching rain.	1
557.9047	3.8897	random1	49	0.058	Seven seals were stamped on great sheets.	1
564.5881	3.4288	random1	50	0.021	A flat pack takes less luggage space.	0
570.3882	4.403	adaption	1	0.204	The dune rose from the edge of the water.	1
578.2384	4.5427	adaption	2	0.204	Those words were the cue for the actor to leave.	1
585.5718	4.1197	adaption	3	0.204	Cars and busses stalled in snow drifts.	1
593.2219	3.7957	adaption	4	0.204	This is a grand season for hikes on the road.	1
599.722	3.9419	adaption	5	0.204	A small creek cut across the field.	1
607.1887	3.7214	adaption	6	0.204	We talked of the side show in the circus.	1
614.3222	4.066	adaption	7	0.204	He ran half way to the hardware store.	1
621.9224	3.84	adaption	8	0.204	The set of china hit the floor with a crash.	1
628.7224	3.6623	adaption	9	0.204	The clock struck to mark the third period.	1
634.5392	3.1881	adaption	10	0.204	Use a pencil to write the first draft.	1
640.7393	3.3864	adaption	11	0.204	The large house had hot water taps.	1
647.1894	4.2945	adaption	12	0.204	It is hard to erase blue or red ink.	1
654.0061	3.9881	adaption	13	0.204	The wreck occurred by the bank on Main Street.	1
660.6734	3.3513	adaption	14	0.204	The cement had dried when he moved it.	1
666.9396	2.7556	adaption	15	0.204	Do that with a wooden stick.	0
672.1397	3.3061	adaption	16	0.204	Write at once or you may forget it.	1
677.8232	2.9494	adaption	17	0.204	Live wires should be kept covered.	1
683.4733	3.2257	adaption	18	0.204	The fly made its way along the wall.	1
689.44	3.6015	adaption	19	0.204	The loss of the second ship was hard to take.	1
696.0568	3.687	adaption	20	0.204	The doorknob was made of bright clean brass.	1
702.9069	3.6671	adaption	21	0.204	Try to have the court decide the case.	1
708.5903	3.3184	adaption	22	0.204	A waxed floor makes us lose balance.	1
714.2741	3.633	adaption	23	0.204	Jerk the rope and the bell rings weakly.	1
720.4072	3.9464	adaption	24	0.204	He broke his ties with groups of former friends.	1
727.0572	3.6227	adaption	25	0.204	Madam, this is the best brand of corn.	1
733.5407	3.6336	adaption	26	0.204	Some ads serve to cheat buyers.	1
740.3244	3.4483	adaption	27	0.204	They are pushed back each time they attack.	1
746.7242	4.5906	adaption	28	0.204	Whitings are small fish caught in nets.	1
753.6077	4.8653	adaption	29	0.204	They floated on the raft to sun their white backs.	1
762.4245	3.6545	adaption	30	0.204	The map had an X that meant nothing.	0
768.2578	3.5719	adaption	31	0.204	Torn scraps littered the stone floor.	0
775.0913	3.0407	adaption	32	0.204	Sunday is the best part of the week.	0
780.9581	3.3484	adaption	33	0.204	The doctor cured him with these pills.	0
787.2915	3.4213	adaption	34	0.204	Steam hissed from the broken valve.	1
793.3916	4.4075	adaption	35	0.204	The sky that morning was clear and bright blue.	0
801.3583	3.8869	adaption	36	0.204	Add the store's account to the last cent.	0
808.2251	3.8505	adaption	37	0.204	The new girl was fired today at noon.	0
815.2585	3.7353	adaption	38	0.204	There was a sound of dry leaves outside.	0
822.9254	4.2423	adaption	39	0.204	They felt gay when the ship arrived in port.	0
830.4088	3.3413	adaption	40	0.204	The child almost hurt the small dog.	0
836.7923	3.4202	adaption	41	0.204	The young kid jumped the rusty gate.	0
842.4756	3.8234	adaption	42	0.204	Mud was spattered on the front of his white shirt.	1
848.7592	3.5383	adaption	43	0.204	The cigar burned a hole in the desk top.	1
854.5759	3.7761	adaption	44	0.204	Those thistles bend in a high wind.	1
861.7093	5.1205	adaption	45	0.204	The spot on the blotter was made by green ink.	1
869.5428	4.2613	adaption	46	0.204	The tree top waved in a graceful way.	1
875.8428	3.7598	adaption	47	0.204	A salt pickle tastes fine with ham.	1
881.9096	3.4275	adaption	48	0.204	Pure bred poodles have curls.	1
887.693	3.3387	adaption	49	0.204	Guess the result from the first scores.	1
