onset	duration	trial_type	trial	delay	sentence	detected_delay
41.6785	6.8398	baseline	1	0.004	Lift the square stone over the fence.	0
62.8121	3.5977	baseline	2	0.004	The lazy cow lay in the cool grass.	1
74.9123	4.5822	baseline	3	0.004	Hop over the fence and plunge in.	1
86.2291	4.0707	baseline	4	0.004	A king ruled the state in the early days.	1
95.0793	3.8263	baseline	5	0.004	The ship was torn apart on the sharp reef.	1
103.1801	4.3474	baseline	6	0.004	The wide road shimmered in the hot sun.	1
110.1295	5.6199	baseline	7	0.004	Sickness kept him home the third week.	1
122.0463	2.9647	baseline	8	0.004	The friendly gang left the drug store.	0
128.3631	6.8054	baseline	9	0.004	Mesh wire keeps chicks inside.	1
139.1299	3.8606	baseline	10	0.004	The rope will bind the seven books at once.	0
149.3634	4.6244	baseline	11	0.004	The pipe ran almost the length of the ditch.	0
157.7469	4.3908	baseline	12	0.004	It was hidden from sight by a mass of leaves and shrubs.	1
164.397	4.9069	baseline	13	0.004	Wake and rise, and step into the green outdoors.	0
174.4305	4.271	baseline	14	0.004	The lobes of her ears were pierced to hold rings.	1
181.5306	3.8093	baseline	15	0.004	The weight of the package was seen on the high scale.	0
188.2973	4.2327	baseline	16	0.004	Hold the hammer near the end to drive the nail.	0
195.9142	4.3819	baseline	17	0.004	The green light in the brown box flickered.	0
203.3648	3.9056	baseline	18	0.004	Next Sunday is the twelfth of the month.	0
211.2643	3.5801	baseline	19	0.004	The brass tube circled the high wall.	0
217.5978	3.4531	baseline	20	0.004	It is a band of steel three inches wide.	1
224.0146	3.7626	random1	1	0.207	She was waiting at my front lawn.	1
230.7813	3.6502	random1	2	0.226	The child crawled into the dense grass.	1
236.8147	3.5274	random1	3	0.107	A round hole was drilled through the thin board.	1
244.5482	3.8478	random1	4	0.046	Bribes fail where honest men work.	1
251.065	3.6734	random1	5	0.032	A vent near the edge brought in fresh air.	1
257.6651	4.1435	random1	6	0.094	Prod the old mule with a crooked stick.	1
265.0491	4.2296	random1	7	0.17	Footprints showed the path he took up the beach.	1
272.7653	4.1195	random1	8	0.025	Trample the spark, else the flames will spread.	1
278.8654	4.8337	random1	9	0.234	Paint the sockets in the wall dull green.	1
286.8821	4.0632	random1	10	0.181	The hilt of the sword was carved with fine designs.	1
292.6156	3.5364	random1	11	0.009	The beauty of the view stunned the young boy.	1
297.9157	3.7149	random1	12	0.036	It snowed, rained, and hailed the same morning.	1
303.533	2.9684	random1	13	0.006	The small pup gnawed a hole in the sock.	1
