onset	duration	trial_type	trial	delay	sentence	detected_delay
36.3081	5.4914	baseline	1	0.004	The club rented the rink for the fifth night.	0
55.675	4.3839	baseline	2	0.004	Even the worst will beat his low score.	0
66.6586	4.6295	baseline	3	0.004	Float the soap on top of the bath water.	0
76.8087	4.7488	baseline	4	0.004	A blue crane is a tall wading bird.	0
86.9089	5.6218	baseline	5	0.004	He wrote his last novel there at the inn.	0
99.109	4.7869	baseline	6	0.004	A fresh start will work such wonders.	0
107.4424	5.1873	baseline	7	0.004	The brown house was on fire to the attic.	0
117.3926	4.1868	baseline	8	0.004	After the dance, they went straight home.	0
127.7434	4.8092	baseline	9	0.004	The hostess taught the new maid to serve.	0
141.843	5.6099	baseline	10	0.004	The lure is used to catch trout and flounder.	0
152.6765	4.206	baseline	11	0.004	The room was crowded with a wild mob.	0
165.61	4.941	baseline	12	0.004	Ripe pears are fit for a queen's table.	0
175.7102	5.9181	baseline	13	0.004	The door was barred, locked, and bolted as well.	0
185.527	4.6511	baseline	14	0.004	The little tales they tell are false.	0
194.2938	5.2659	baseline	15	0.004	The beetle droned in the hot June sun.	0
201.7106	5.6552	baseline	16	0.004	The pleasant hours fly by much too soon.	0
212.7774	6.8013	baseline	17	0.004	She blushed when he gave her a white orchid.	0
223.7942	4.7663	baseline	18	0.004	The kite dipped and swayed, but stayed aloft.	0
232.8777	4.9924	baseline	19	0.004	A big wet stain was on the round carpet.	0
245.3446	4.2186	baseline	20	0.004	This strong arm shall shield your honor.	0
252.178	5.8072	random1	1	0.251	A pod is what peas always grow in.	1
266.8615	4.2963	random1	2	0.127	Jerk that dart from the cork target.	1
274.0617	4.3103	random1	3	0.105	The sheep were led home by a dog.	1
281.1951	5.1908	random1	4	0.188	Grace makes up for lack of beauty.	1
291.1785	4.3011	random1	5	0.24	We now have a new base for shipping.	1
298.7954	4.9382	random1	6	0.119	A list of names is carved around the base.	1
309.4127	5.0061	random1	7	0.172	No hardship seemed to make him sad.	1
318.7957	5.6206	random1	8	0.169	No cement will hold hard wood.	1
326.9458	5.9644	random1	9	0.133	The sense of smell is better than that of touch.	1
335.4293	5.3909	random1	10	0.251	Three for a dime, the young peddler cried.	1
343.8461	4.4762	random1	11	0.066	Cats and Dogs each hate the other.	1
351.7128	4.3196	random1	12	0.124	Move the vat over the hot fire.	1
361.7797	4.5621	random1	13	0.232	The pipe began to rust while new.	1
369.2465	4.4295	random1	14	0.069	Oak is strong and also gives shade.	0
379.7299	3.9916	random1	15	0.028	Thieves who rob friends deserve jail.	0
386.43	5.2574	random1	16	0.052	Add the sum to the product of these three.	0
393.8135	4.6242	random1	17	0.044	The hog crawled under the high fence.	0
400.4636	5.3882	random1	18	0.066	The ripe taste of cheese improves with age.	1
407.4636	4.0669	random1	19	0.067	Open the crate but don't break the glass.	1
413.3971	7.3311	random1	20	0.234	Act on these orders with great speed.	1
422.2139	4.9926	random1	21	0.155	The large house had hot water taps.	1
429.3807	5.2159	random1	22	0.148	The doorknob was made of bright clean brass.	1
436.2808	4.8423	random1	23	0.112	Live wires should be kept covered.	1
443.3172	5.7478	random1	24	0.188	The wreck occurred by the bank on Main Street.	1
450.681	4.2946	random1	25	0.062	The loss of the second ship was hard to take.	0
459.4645	3.581	random1	26	0.041	Write at once or you may forget it.	0
464.8978	4.8101	random1	27	0.08	It is hard to erase blue or red ink.	1
471.898	3.8003	random1	28	0.036	The cement had dried when he moved it.	0
477.1814	3.7796	random1	29	0.081	Do that with a wooden stick.	1
482.9008	3.9148	random1	30	0.083	The fly made its way along the wall.	1
488.765	5.1928	random1	31	0.223	Five years he lived with a shaggy dog.	1
495.7316	5.4004	random1	32	0.115	A fence cuts through the corner lot.	1
503.7818	5.94	random1	33	0.231	The tin box held priceless stones.	1
512.1986	5.9131	random1	34	0.125	We need an end of all such matter.	1
522.4987	4.9788	random1	35	0.1	The kite flew wildly in the high wind.	1
529.0655	4.1625	random1	36	0.021	The case was puzzling to the old and wise.	0
534.9489	5.5332	random1	37	0.21	We don't get much money but we have fun.	1
543.949	5.8187	random1	38	0.199	A fur muff is stylish once more.	1
554.4993	5.5378	random1	39	0.066	The bright lanterns were gay on the dark lawn.	1
564.2494	5.7852	random1	40	0.202	The youth drove with zest, but little skill.	1
572.7995	3.5856	random1	41	0.162	Will you please answer that phone.	1
579.2996	4.2757	random1	42	0.196	Leave now and you will arrive on time.	1
585.3997	5.8776	random1	43	0.11	The young prince became heir to the throne.	1
596.1332	4.3418	random1	44	0.144	The curtain rose and the show was on.	1
