onset	duration	trial_type	trial	delay	sentence	detected_delay
220.7587	4.4171	baseline	1	0.004	A castle built from sand fails to endure.	0
236.7256	3.9583	baseline	2	0.004	Mince pie is a dish served to children.	0
248.8592	3.2217	baseline	3	0.004	Next Tuesday we must vote.	0
259.676	3.9141	baseline	4	0.004	Let it burn, it gives us warmth and comfort.	0
271.0428	3.9604	baseline	5	0.004	The vane on top of the pole revolved in the wind.	0
282.3763	3.4722	baseline	6	0.004	A child's wit saved the day for us.	0
291.4764	4.7454	baseline	7	0.004	Tack the strip of carpet to the worn floor.	0
303.11	3.3893	baseline	8	0.004	The clan gathered on each dull night.	0
311.8768	3.6842	baseline	9	0.004	He used the lathe to make brass objects.	0
322.3769	3.7814	baseline	10	0.004	Most of the news is easy for us to hear.	0
334.4938	3.3896	baseline	11	0.004	Cars and busses stalled in snow drifts.	1
343.9439	3.3051	baseline	12	0.004	The set of china hit the floor with a crash.	1
354.3774	2.9651	baseline	13	0.004	Use a pencil to write the first draft.	0
363.4942	3.7978	baseline	14	0.004	This is a grand season for hikes on the road.	1
371.661	3.453	baseline	15	0.004	A small creek cut across the field.	0
381.0445	3.7151	baseline	16	0.004	Those words were the cue for the actor to leave.	1
389.6778	3.1597	baseline	17	0.004	He ran half way to the hardware store.	0
398.8947	4.2043	baseline	18	0.004	The clock struck to mark the third period.	0
408.7282	5.056	baseline	19	0.004	We talked of the side show in the circus.	0
418.5284	3.1658	baseline	20	0.004	The dune rose from the edge of the water.	0
428.6285	3.4872	random1	1	0.058	The case was puzzling to the old and wise.	1
438.7286	4.8641	random1	2	0.131	The tin box held priceless stones.	1
448.1788	2.9881	random1	3	0.026	We need an end of all such matter.	1
455.7955	2.8894	random1	4	0.109	A fence cuts through the corner lot.	1
463.7957	2.8873	random1	5	0.005	We don't get much money but we have fun.	0
470.6124	3.7326	random1	6	0.086	The youth drove with zest, but little skill.	1
479.6126	4.4979	random1	7	0.241	The bright lanterns were gay on the dark lawn.	1
490.0147	4.2933	random1	8	0.158	The kite flew wildly in the high wind.	1
498.5962	4.0297	random1	9	0.131	Five years he lived with a shaggy dog.	1
506.7463	3.1098	random1	10	0.037	A fur muff is stylish once more.	0
515.2799	2.9981	random1	11	0.19	Each penny shone like new.	1
521.7632	3.1931	random1	12	0.153	Just hoist it up and take it away.	1
527.7133	3.3854	random1	13	0.022	A ripe plum is fit for a king's palate.	0
534.2467	3.3624	random1	14	0.019	Pour the stew from the pot into the plate.	0
540.7135	4.1578	random1	15	0.218	The man went to the woods to gather sticks.	1
549.2636	4.4774	random1	16	0.209	The logs fell and tumbled into the clear stream.	1
558.3138	4.0571	random1	17	0.151	The dirt piles were lines along the road.	1
565.6972	4.2718	random1	18	0.214	It takes a good trap to capture a bear.	1
574.3474	3.5396	random1	19	0.057	Brass rings are sold by these natives.	1
581.8475	3.9495	random1	20	0.231	Our plans right now are hazy.	1
591.8976	4.1287	random1	21	0.11	He lay prone and hardly moved a limb.	1
600.6977	3.3347	random1	22	0.229	Cut the pie into large parts.	1
607.5312	3.7314	random1	23	0.202	Always close the barn door tight.	1
615.2313	5.2529	random1	24	0.221	See the cat glaring at the scared mouse.	1
625.9314	3.5825	random1	25	0.21	The grass curled around the fence post.	1
633.6316	3.8405	random1	26	0.115	There are more than two factors here.	1
644.9317	3.7214	random1	27	0.205	Men strive but seldom get rich.	1
653.3819	3.1893	random1	28	0.022	The Navy attacked the big task force.	0
673.3988	4.1431	random1	29	0.114	The hat brim was wide and too droopy.	1
681.049	3.1153	random1	30	0.188	The lawyer tried to lose his case.	1
689.4491	3.6089	random1	31	0.12	Bring your problems to the wise chief.	1
697.5825	4.2893	random1	32	0.251	A cramp is no small danger on a swim.	1
705.2494	4.3884	random1	33	0.135	We frown when events take a bad turn.	1
713.1661	4.3578	random1	34	0.239	Write a fond note to the friend you cherish.	1
734.9831	4.5992	random1	35	0.199	Port is a strong wine with a smoky taste.	1
742.7332	2.9115	random1	36	0.042	Two plus seven is less than ten.	0
748.6	4.083	random1	37	0.187	Clothes and lodging are free to new men.	1
771.2336	3.8757	random1	38	0.213	Pluck the bright rose without leaves.	1
778.2838	4.1597	random1	39	0.249	He said the same phrase thirty times.	1
785.5339	3.2681	random1	40	0.009	The glow deepened in the eyes of the sweet girl.	0
791.2007	3.5117	random1	41	0.081	The rise to fame of a person takes luck.	0
797.0847	2.9784	random1	42	0.106	The purple tie was ten years old.	1
802.7009	4.6404	random1	43	0.215	Men think and plan and sometimes act.	1
809.5342	4.5574	random1	44	0.248	Screw the round cap on as tight as needed.	1
816.6677	4.1662	random1	45	0.23	The nozzle of the fire hose was bright brass.	1
823.7678	3.1925	random1	46	0.056	The quick fox jumped on the sleeping cat.	0
829.0512	4.5875	random1	47	0.099	The store walls were lined with colored frocks.	0
851.0849	3.8204	random1	48	0.253	Paper is scarce, so write with much care.	1
857.9517	3.256	random1	49	0.024	The peace league met to discuss their plans.	0
864.985	3.077	random1	50	0.13	Time brings us many changes.	1
876.5852	3.5458	adaption	1	0.204	Their eyelids droop for want of sleep.	1
882.952	4.0013	adaption	2	0.204	Oats are a food eaten by horse and man.	1
890.9521	3.5433	adaption	3	0.204	Take a chance and win a china doll.	1
898.6189	4.1144	adaption	4	0.204	A sip of tea revives his tired friend.	1
906.5358	3.2757	adaption	5	0.204	We like to see clear weather.	1
912.6858	4.076	adaption	6	0.204	A force equal to that would move the earth.	1
929.9527	4.2367	adaption	7	0.204	A man in a blue sweater sat at the desk.	1
937.0862	3.8136	adaption	8	0.204	There are many ways to do these things.	1
946.9363	3.9129	adaption	9	0.204	The work of the tailor is seen on each side.	1
953.5198	3.8478	adaption	10	0.204	Tuck the sheet under the edge of the mat.	1
974.9201	3.5303	adaption	11	0.204	The flint sputtered and lit a pine torch.	1
981.2201	3.3166	adaption	12	0.204	The red tape bound the smuggled food.	1
987.2869	4.688	adaption	13	0.204	The horse trotted around the field at a brisk pace.	1
1019.0207	3.5865	adaption	14	0.204	The junk yard had a mouldy smell.	1
1026.1708	3.6826	adaption	15	0.204	Nine men were hired to dig the ruins.	1
1034.1043	4.115	adaption	16	0.204	Soak the cloth and drown the sharp odor.	1
1042.6044	4.2207	adaption	17	0.204	Find the twin who stole the pearl necklace.	1
1049.7379	3.7575	adaption	18	0.204	Look in the corner to find the tan shirt.	1
1062.388	4.1042	adaption	19	0.204	The cold drizzle will halt the bond drive.	1
1070.0548	3.7556	adaption	20	0.204	Cut the cord that binds the box tightly.	1
1133.7558	4.3424	adaption	21	0.204	Cap the jar with a tight brass cover.	1
1141.3225	4.3019	adaption	22	0.204	Be sure to set that lamp firmly in the hole.	1
1148.806	3.7607	adaption	23	0.204	You cannot brew tea in a cold pot.	1
1155.2234	3.8615	adaption	24	0.204	The first part of the plan needs changing.	1
1161.8062	3.9411	adaption	25	0.204	The mail comes in three batches per day.	1
1168.3063	3.5435	adaption	26	0.204	Hang tinsel from both branches.	1
1174.723	3.1172	adaption	27	0.204	The poor boy missed the boat again.	1
1180.7738	3.7608	adaption	28	0.204	A round mat will cover the dull spot.	1
1187.44	4.9966	adaption	29	0.204	Pick a card and slip it under the pack.	1
1196.19	3.5088	adaption	30	0.204	A good book informs of what we ought to know.	1
1202.6068	4.2342	adaption	31	0.204	The farmer swapped his horse for a brown ox.	1
1209.3403	4.147	adaption	32	0.204	The latch on the back gate needed a nail.	1
1216.407	3.4948	adaption	33	0.204	Green moss grows on the northern side.	1
1223.5739	4.1978	adaption	34	0.204	Sit on the perch and tell the others what to do.	1
1230.5906	4.6992	adaption	35	0.204	Tea in thin china has a sweet taste.	1
1238.5573	3.9067	adaption	36	0.204	Pitch the straw through the door of the stable.	1
1245.4408	3.5657	adaption	37	0.204	The early phase of life moves fast.	1
1251.4081	3.7488	adaption	38	0.204	The ram scared the school children off.	1
1257.591	4.4041	adaption	39	0.204	A steep trail is painful for our feet.	1
1267.3078	3.6371	adaption	40	0.204	The team with the best timing looks good.	1
1275.0246	3.7343	adaption	41	0.204	Lush ferns grow on the lofty rocks.	1
1281.3748	3.3428	adaption	42	0.204	A thin stripe runs down the middle.	1
1288.0748	3.0811	adaption	43	0.204	Sweet words work better than fierce.	1
1294.6082	4.0178	adaption	44	0.204	A plea for funds seems to come again.	1
1302.3084	3.6997	adaption	45	0.204	He lent his coat to the tall gaunt stranger.	1
1309.6751	3.5072	adaption	46	0.204	A six comes up more often than a ten.	1
1317.2085	3.492	adaption	47	0.204	Greet the new guests and leave quickly.	1
1323.5753	3.7315	adaption	48	0.204	There is a strong chance it will happen once more.	1
1329.8087	4.1284	adaption	49	0.204	The duke left the park in a silver coach.	1
1336.9089	3.5066	adaption	50	0.204	When the frost has come it is time for turkey.	1
1343.0423	3.3317	adaption	51	0.204	Drop the two when you add the figures.	1
1349.9758	4.6522	adaption	52	0.204	Wood is best for making toys and blocks.	1
1357.8592	4.2949	adaption	53	0.204	A filing case is now hard to buy.	1
1365.0926	3.6039	adaption	54	0.204	A rag will soak up spilled water.	1
1372.9095	3.457	adaption	55	0.204	The jacket hung on the back of the wide chair.	1
1379.3928	3.7	adaption	56	0.204	At that high level the air is pure.	1
1385.7096	3.6856	adaption	57	0.204	The office paint was a dull, sad tan.	1
1392.7096	3.7558	adaption	58	0.204	A shower of dirt fell from the hot pipes.	1
1400.7765	3.375	adaption	59	0.204	An abrupt start does not win the prize.	1
1407.2099	3.6121	adaption	60	0.204	He knew the skill of the great young actress.	1
1413.9767	3.1636	adaption	61	0.204	Leave now and you will arrive on time.	1
1420.0601	6.4058	adaption	62	0.204	Fish evade the net and swim off.	1
1430.2439	2.7963	adaption	63	0.204	Will you please answer that phone.	1
1435.7443	3.5984	adaption	64	0.204	The young prince became heir to the throne.	1
1441.8271	2.8262	adaption	65	0.204	The corner store was robbed last night.	1
1447.4105	3.0734	adaption	66	0.204	The curtain rose and the show was on.	1
1453.3606	3.2018	adaption	67	0.204	Open your book to the first page.	1
1458.744	4.4887	adaption	68	0.204	Dip the pail once and let it settle.	1
1466.8275	2.9716	adaption	69	0.204	He sent the boy on a short errand.	1
1473.4442	3.4731	adaption	70	0.204	The big red apple fell to the ground.	1
1480.161	3.6825	adaption	71	0.204	Mesh wire keeps chicks inside.	1
1486.5111	2.8911	adaption	72	0.204	The friendly gang left the drug store.	1
1492.5779	2.9427	adaption	73	0.204	Hop over the fence and plunge in.	1
1498.578	3.3891	adaption	74	0.204	Sickness kept him home the third week.	1
1504.4946	3.7908	adaption	75	0.204	The rope will bind the seven books at once.	1
1512.0615	3.6861	adaption	76	0.204	A king ruled the state in the early days.	1
1518.6783	3.9635	adaption	77	0.204	The ship was torn apart on the sharp reef.	1
1537.2451	3.5201	adaption	78	0.204	The lazy cow lay in the cool grass.	1
1543.7452	3.4905	adaption	79	0.204	Lift the square stone over the fence.	1
1549.7787	3.4554	adaption	80	0.204	The wide road shimmered in the hot sun.	1
1555.4955	3.3213	random2	1	0.079	Feel the heat of the weak dying flame.	1
1562.0955	3.4396	random2	2	0.182	The cup cracked and spilled its contents.	1
1567.6623	3.0074	random2	3	0.016	The harder he tried the less he got done.	0
1575.2625	3.1573	random2	4	0.139	The boss ran the show with a watchful eye.	1
1581.5125	3.9935	random2	5	0.194	It caught its hind paw in a rusty trap.	1
1588.8126	3.2758	random2	6	0.149	Type out three lists of orders.	1
1594.8961	4.0067	random2	7	0.023	The wharf could be seen at the farther shore.	0
1600.8461	4.383	random2	8	0.145	The slang word for raw whiskey is booze.	1
1607.5468	3.6809	random2	9	0.228	Paste can cleanse the most dirty brass.	1
1614.363	3.0951	random2	10	0.209	The tiny girl took off her hat.	1
1620.5131	2.8314	random2	11	0.064	We find joy in the simplest things.	0
1625.7298	3.3893	random2	12	0.124	The bark of the pine tree was shiny and dark.	1
1631.3799	3.1779	random2	13	0.042	Burn peat after the logs give out.	0
1637.3134	3.1789	random2	14	0.045	Split the log with a quick, sharp blow.	0
1643.2134	3.7253	random2	15	0.112	Hemp is a weed found in parts of the tropics.	1
1649.7135	3.1836	random2	16	0.171	Weave the carpet on the right hand side.	1
1655.9137	3.15	random2	17	0.053	A lame back kept his score low.	0
1661.4971	3.1091	random2	18	0.209	He ordered peach pie with ice cream.	1
1667.2472	3.2136	random2	19	0.167	The pennant waved when the wind blew.	1
1673.5472	3.5199	random2	20	0.18	Leaves turn brown and yellow in the fall.	1
1680.614	3.1554	random2	21	0.053	They sang the same tunes at each party.	0
1686.1474	3.4926	random2	22	0.109	The sky in the west is tinged with orange red.	1
1691.6976	4.0448	random2	23	0.21	The knife was hung inside its bright sheath.	1
1698.5309	4.2098	random2	24	0.213	Ship maps are different from those for planes.	1
1705.0977	3.5695	random2	25	0.098	The pods of peas ferment in bare fields.	0
