onset	duration	trial_type	trial	delay	sentence	detected_delay
31.0554	5.3583	baseline	1	0.004	In the rear of the ground floor was a large passage.	0
43.9579	3.557	baseline	2	0.004	The way to save money is not to spend much.	0
51.9557	3.4932	baseline	3	0.004	A quart of milk is water for the most part.	0
57.8558	8.5983	baseline	4	0.004	Crack the walnut with your sharp side teeth.	0
69.806	3.6464	baseline	5	0.004	Send the stuff in a thick paper bag.	0
75.706	3.7449	baseline	6	0.004	He offered proof in the form of a large chart.	0
82.1895	3.1799	baseline	7	0.004	They told wild tales to frighten him.	0
87.5229	3.3091	baseline	8	0.004	The odor of spring makes young hearts jump.	0
92.6397	3.1911	baseline	9	0.004	The three story house was built of stone.	0
97.723	3.0985	baseline	10	0.004	Shut the hatch before the waves push it in.	0
102.5738	2.8945	baseline	11	0.004	It's easy to tell the depth of a well.	0
107.4899	3.569	baseline	12	0.004	The juice of lemons makes fine punch.	0
113.3567	3.9167	baseline	13	0.004	A large size in stockings is hard to sell.	0
119.3067	3.6372	baseline	14	0.004	Glue the sheet to the dark blue background.	0
124.6735	4.133	baseline	15	0.004	The hogs were fed chopped corn and garbage.	0
130.6094	3.5957	baseline	16	0.004	Rice is often served in round bowls.	0
135.8736	3.8661	baseline	17	0.004	These days a chicken leg is a rare dish.	0
141.6571	4.1611	baseline	18	0.004	The birch canoe slid on the smooth planks.	0
147.4738	4.063	baseline	19	0.004	The box was thrown beside the parked truck.	0
153.0906	3.9967	baseline	20	0.004	Four hours of steady work faced us.	0
158.5573	3.7127	random1	1	0.166	Will you please answer that phone.	1
166.3741	2.9902	random1	2	0.013	The corner store was robbed last night.	0
171.8242	3.7465	random1	3	0.042	Dip the pail once and let it settle.	1
178.0743	4.3027	random1	4	0.132	The curtain rose and the show was on.	1
183.7911	4.3444	random1	5	0.212	Fish evade the net and swim off.	1
189.6745	3.8917	random1	6	0.093	Leave now and you will arrive on time.	1
195.0418	3.6111	random1	7	0.167	Open your book to the first page.	1
200.0246	4.7868	random1	8	0.214	The big red apple fell to the ground.	1
206.2247	4.0173	random1	9	0.105	He sent the boy on a short errand.	1
211.7748	4.8096	random1	10	0.19	The young prince became heir to the throne.	1
218.0415	4.4454	random1	11	0.245	Live wires should be kept covered.	1
223.6083	5.261	random1	12	0.23	The doorknob was made of bright clean brass.	1
230.1584	2.9898	random1	13	0.093	Do that with a wooden stick.	1
234.192	3.851	random1	14	0.091	The fly made its way along the wall.	0
239.3419	3.9478	random1	15	0.153	The large house had hot water taps.	1
244.3113	4.3051	random1	16	0.153	The cement had dried when he moved it.	1
249.8755	3.9475	random1	17	0.058	The loss of the second ship was hard to take.	0
255.4755	4.1701	random1	18	0.16	It is hard to erase blue or red ink.	1
260.8255	4.8587	random1	19	0.133	The wreck occurred by the bank on Main Street.	0
266.6423	3.4966	random1	20	0.069	Write at once or you may forget it.	0
271.2424	3.5194	random1	21	0.086	The frosty air passed through the coat.	0
275.862	4.8584	random1	22	0.183	March the soldiers past the next hill.	1
281.6092	4.6697	random1	23	0.198	A cup of sugar makes sweet fudge.	1
287.1093	4.8082	random1	24	0.177	The show was a flop from the very start.	1
292.7427	3.3977	random1	25	0.035	Place a rosebush near the porch steps.	0
297.2261	4.241	random1	26	0.09	Both lost their lives in the raging storm.	1
302.6262	4.5035	random1	27	0.174	The wagon moved on well oiled wheels.	1
307.8929	3.4997	random1	28	0.085	A saw is a tool used for making boards.	0
312.3097	3.3298	random1	29	0.025	The crooked maze failed to fool the mouse.	0
316.3764	4.2218	random1	30	0.229	Adding fast leads to wrong sums.	1
321.7598	4.4051	random1	31	0.214	The nag pulled the frail cart along.	1
327.5766	4.3628	random1	32	0.126	This horse will nose his way to the finish.	1
332.7766	3.6576	random1	33	0.04	New pants lack cuffs and pockets.	0
337.3267	4.4902	random1	34	0.196	These coins will be needed to pay his debt.	1
343.9601	4.2072	random1	35	0.204	He picked up the dice for a second roll.	1
349.3102	4.8556	random1	36	0.214	Twist the valve and release hot steam.	1
