onset	duration	trial_type	trial	delay	sentence	detected_delay
33.2499	3.4896	baseline	1	0.004	The brown house was on fire to the attic.	0
44.0501	3.8306	baseline	2	0.004	The lure is used to catch trout and flounder.	0
51.4669	4.3397	baseline	3	0.004	After the dance, they went straight home.	0
58.6837	3.7614	baseline	4	0.004	A fresh start will work such wonders.	0
65.8171	3.6501	baseline	5	0.004	He wrote his last novel there at the inn.	0
72.2173	3.5603	baseline	6	0.004	The club rented the rink for the fifth night.	0
78.1673	3.5768	baseline	7	0.004	The hostess taught the new maid to serve.	0
85.0341	3.8682	baseline	8	0.004	Even the worst will beat his low score.	0
92.1509	3.5097	baseline	9	0.004	A blue crane is a tall wading bird.	0
98.3676	3.7234	baseline	10	0.004	Float the soap on top of the bath water.	0
106.851	3.7979	baseline	11	0.004	Press the pants and sew a button on the vest.	0
114.0345	4.0284	baseline	12	0.004	It snowed, rained, and hailed the same morning.	0
121.2347	3.6186	baseline	13	0.004	Read verse out loud for pleasure.	0
127.6681	3.9594	baseline	14	0.004	The fish twisted and turned on the bent hook.	0
134.4182	3.4078	baseline	15	0.004	Two blue fish swam in the tank.	0
142.9016	3.4501	baseline	16	0.004	The beauty of the view stunned the young boy.	0
149.1017	3.4246	baseline	17	0.004	The colt reared and threw the tall rider.	1
170.0354	3.5095	baseline	18	0.004	Her purse was full of useless trash.	1
176.9855	4.5414	baseline	19	0.004	The swan dive was far short of perfect.	1
186.5689	3.7798	baseline	20	0.004	The small pup gnawed a hole in the sock.	1
196.2525	6.2049	random1	1	0.25	The large house had hot water taps.	1
204.9858	4.1981	random1	2	0.069	The loss of the second ship was hard to take.	1
212.686	4.32	random1	3	0.085	It is hard to erase blue or red ink.	1
219.486	3.9583	random1	4	0.191	Write at once or you may forget it.	1
226.0028	3.4081	random1	5	0.054	The fly made its way along the wall.	1
232.703	4.8657	random1	6	0.124	The doorknob was made of bright clean brass.	1
240.7531	4.6537	random1	7	0.148	The wreck occurred by the bank on Main Street.	1
248.4032	4.2418	random1	8	0.117	Live wires should be kept covered.	1
255.9199	4.4271	random1	9	0.088	The cement had dried when he moved it.	1
263.9701	3.1032	random1	10	0.026	Do that with a wooden stick.	1
270.1369	4.8944	random1	11	0.229	Calves thrive on tender spring grass.	1
277.8036	4.5298	random1	12	0.1	Loop the braid to the left and then over.	1
287.2871	4.348	random1	13	0.058	The sink is the thing in which we pile dishes.	1
294.8206	4.5165	random1	14	0.173	The goose was brought straight from the old market.	1
302.3374	4.1019	random1	15	0.119	She flaps her cape as she parades the street.	1
309.0707	4.2469	random1	16	0.151	The loss of the cruiser was a blow to the fleet.	1
316.0042	3.8238	random1	17	0.214	The facts don't always show who is right.	1
322.6543	3.812	random1	18	0.253	Post no bills on this office wall.	1
331.8377	4.2662	random1	19	0.025	A whiff of it will cure the most stubborn cold.	0
338.4379	4.0403	random1	20	0.223	Plead with the lawyer to drop the lost cause.	1
345.3713	4.0572	random1	21	0.019	The farmer swapped his horse for a brown ox.	0
351.6047	4.0462	random1	22	0.224	The ram scared the school children off.	1
358.5075	4.0856	random1	23	0.243	The team with the best timing looks good.	1
366.855	5.1439	random1	24	0.239	Sit on the perch and tell the others what to do.	1
375.8718	6.1244	random1	25	0.092	A steep trail is painful for our feet.	1
388.8053	4.62	random1	26	0.18	Tea in thin china has a sweet taste.	1
396.7221	4.4693	random1	27	0.126	Pitch the straw through the door of the stable.	1
404.6055	3.5122	random1	28	0.031	The early phase of life moves fast.	0
410.9056	4.2263	random1	29	0.244	The latch on the back gate needed a nail.	1
418.0891	4.417	random1	30	0.213	Green moss grows on the northern side.	1
426.2558	4.1843	random1	31	0.242	The marsh will freeze when cold enough.	1
434.7894	3.9286	random1	32	0.243	The smell of burned rags itches my nose.	1
442.1734	4.1427	random1	33	0.219	These coins will be needed to pay his debt.	1
449.5729	4.1333	random1	34	0.049	This horse will nose his way to the finish.	1
458.823	4.1929	random1	35	0.162	He picked up the dice for a second roll.	1
468.2899	4.5236	random1	36	0.184	The vamp of the shoe had a gold buckle.	1
476.7567	4.6065	random1	37	0.197	The dry wax protects the deep scratch.	1
484.54	3.4455	random1	38	0.051	New pants lack cuffs and pockets.	0
490.9735	3.6024	random1	39	0.081	The nag pulled the frail cart along.	0
498.6903	4.5874	random1	40	0.143	Twist the valve and release hot steam.	1
506.7404	4.4793	random1	41	0.058	Oats are a food eaten by horse and man.	0
514.6905	4.2472	random1	42	0.216	Tuck the sheet under the edge of the mat.	1
522.1074	3.5087	random1	43	0.125	We like to see clear weather.	1
528.9407	4.7133	random1	44	0.086	A sip of tea revives his tired friend.	0
537.0409	4.4432	random1	45	0.176	The work of the tailor is seen on each side.	1
544.8444	4.6616	random1	46	0.206	A man in a blue sweater sat at the desk.	1
554.3911	3.1209	random1	47	0.006	Take a chance and win a china doll.	0
560.8078	4.0224	random1	48	0.163	There are many ways to do these things.	1
568.2747	3.8496	random1	49	0.177	Their eyelids droop for want of sleep.	1
575.9248	4.2455	random1	50	0.253	A force equal to that would move the earth.	1
583.2916	4.7246	adaption	1	0.204	The bills were mailed promptly on the tenth of the month.	1
592.7084	3.8097	adaption	2	0.204	A clean neck means a neat collar.	1
599.9752	4.301	adaption	3	0.204	The wall phone rang loud and often.	1
608.542	4.2441	adaption	4	0.204	The price is fair for a good antique clock.	1
616.842	4.6218	adaption	5	0.204	To have is better than to wait and hope.	1
630.5423	4.4702	adaption	6	0.204	The stems of the tall glasses cracked and broke.	1
638.3091	4.9893	adaption	7	0.204	The cleat sank deeply into the soft turf.	1
647.5925	4.0477	adaption	8	0.204	Turn out the lantern which gives us light.	1
654.7426	4.5437	adaption	9	0.204	The couch cover and hall drapes were blue.	1
663.4261	4.2661	adaption	10	0.204	The clothes dried on a thin wooden rack.	1
671.0096	4.0887	adaption	11	0.204	Pluck the bright rose without leaves.	1
679.793	4.3191	adaption	12	0.204	A cramp is no small danger on a swim.	1
688.1102	4.4237	adaption	13	0.204	Clothes and lodging are free to new men.	1
698.5599	3.6916	adaption	14	0.204	Two plus seven is less than ten.	1
705.7434	4.5221	adaption	15	0.204	He said the same phrase thirty times.	1
715.0769	3.8024	adaption	16	0.204	Bring your problems to the wise chief.	1
724.7604	4.6763	adaption	17	0.204	Write a fond note to the friend you cherish.	1
