onset	duration	trial_type	trial	delay	sentence	detected_delay
41.5005	4.725	baseline	1	0.004	There are many ways to do these things.	0
51.884	3.4352	baseline	2	0.004	Their eyelids droop for want of sleep.	0
58.8008	3.2526	baseline	3	0.004	Take a chance and win a china doll.	0
64.7842	3.0518	baseline	4	0.004	We like to see clear weather.	0
69.8676	3.4951	baseline	5	0.004	The work of the tailor is seen on each side.	0
75.2509	3.8143	baseline	6	0.004	A sip of tea revives his tired friend.	0
81.4677	3.852	baseline	7	0.004	A force equal to that would move the earth.	0
87.1846	3.9655	baseline	8	0.004	A man in a blue sweater sat at the desk.	0
93.3179	4.0068	baseline	9	0.004	Oats are a food eaten by horse and man.	0
99.0347	4.3044	baseline	10	0.004	Tuck the sheet under the edge of the mat.	0
105.1848	2.9291	baseline	11	0.004	Always close the barn door tight.	0
109.4848	3.7958	baseline	12	0.004	The hat brim was wide and too droopy.	0
115.9016	3.8173	baseline	13	0.004	The grass curled around the fence post.	0
121.6017	3.292	baseline	14	0.004	The lawyer tried to lose his case.	0
126.8351	3.2173	baseline	15	0.004	The Navy attacked the big task force.	0
131.8851	4.6616	baseline	16	0.004	See the cat glaring at the scared mouse.	0
138.8186	3.4627	baseline	17	0.004	Men strive but seldom get rich.	0
143.9687	3.0794	baseline	18	0.004	There are more than two factors here.	0
148.8854	3.3294	baseline	19	0.004	He lay prone and hardly moved a limb.	0
154.8355	2.866	baseline	20	0.004	Cut the pie into large parts.	0
159.5189	4.8289	random1	1	0.022	Hedge apples may stain your hands green.	1
166.9857	6.4878	random1	2	0.156	A ridge on a smooth surface is a bump or flaw.	1
176.0692	4.6424	random1	3	0.09	A cloud of dust stung his tender eyes.	1
183.5359	4.006	random1	4	0.076	Shape the clay gently into block form.	1
189.286	4.6704	random1	5	0.115	To reach the end he needs much courage.	1
195.6361	5.6784	random1	6	0.167	The shelves were bare of both jam or crackers.	1
203.453	3.86	random1	7	0.042	Tight curls get limp on rainy days.	1
209.1363	3.9752	random1	8	0.11	A joy to every child is the swan boat.	1
214.7198	4.3262	random1	9	0.199	All sat frozen and watched the screen.	1
220.9032	3.6454	random1	10	0.078	Quench your thirst, then eat the crackers.	1
226.4033	4.5598	random1	11	0.179	The peace league met to discuss their plans.	1
232.6868	4.4027	random1	12	0.236	The nozzle of the fire hose was bright brass.	1
238.6868	3.0975	random1	13	0.228	Time brings us many changes.	1
243.3869	3.3002	random1	14	0.037	Men think and plan and sometimes act.	1
248.1203	4.6132	random1	15	0.164	Screw the round cap on as tight as needed.	1
254.5037	4.6362	random1	16	0.163	The purple tie was ten years old.	1
261.2538	5.0363	random1	17	0.217	The store walls were lined with colored frocks.	1
267.8706	3.5782	random1	18	0.023	The quick fox jumped on the sleeping cat.	0
273.2206	4.1227	random1	19	0.112	The rise to fame of a person takes luck.	1
279.9211	3.8527	random1	20	0.034	Paper is scarce, so write with much care.	1
285.6708	3.6535	random1	21	0.083	The horn of the car woke the sleeping cop.	1
290.8709	3.908	random1	22	0.207	The lease ran out in sixteen weeks.	1
296.1877	3.814	random1	23	0.036	The heart beat strongly and with firm strokes.	1
301.4717	4.2085	random1	24	0.035	The pearl was worn in a thin silver ring.	1
308.1545	3.6683	random1	25	0.064	A tame squirrel makes a nice pet.	1
313.8879	4.0692	random1	26	0.221	The walled town was seized without a fight.	1
322.5381	4.5528	random1	27	0.147	A yacht slid around the point into the bay.	1
328.5548	3.7107	random1	28	0.045	The two met while playing on the sand.	1
338.405	4.4979	random1	29	0.238	The ink stain dried on the finished page.	1
344.3551	4.7942	random1	30	0.108	The fruit peel was cut in thick slices.	1
