onset	duration	trial_type	trial	delay	sentence	detected_delay
36.0726	3.1098	baseline	1	0.004	Bail the boat to stop it from sinking.	0
43.156	2.8246	baseline	2	0.004	The fin was sharp and cut the clear water.	0
48.7727	2.4227	baseline	3	0.004	The slush lay deep along the street.	0
54.2062	2.5637	baseline	4	0.004	The term ended in late june that year.	0
61.2063	3.8816	baseline	5	0.004	A Tusk is used to make costly gifts.	0
68.2397	2.4468	baseline	6	0.004	A pound of sugar costs more than eggs.	0
74.1898	2.1832	baseline	7	0.004	The bill was paid every third week.	0
78.4565	2.0754	baseline	8	0.004	Ten pins were set in order.	0
83.4399	2.4107	baseline	9	0.004	A wisp of cloud hung in the blue air.	0
88.0234	2.4341	baseline	10	0.004	The play seems dull and quite stupid.	0
92.7901	2.3701	baseline	11	0.004	Loop the braid to the left and then over.	0
97.5401	2.2109	baseline	12	0.004	Post no bills on this office wall.	0
103.5902	2.6953	baseline	13	0.004	Calves thrive on tender spring grass.	0
108.4404	2.8757	baseline	14	0.004	She flaps her cape as she parades the street.	0
113.2071	2.6759	baseline	15	0.004	Plead with the lawyer to drop the lost cause.	0
117.7571	3.0127	baseline	16	0.004	A whiff of it will cure the most stubborn cold.	0
122.6905	2.3023	baseline	17	0.004	The facts don't always show who is right.	0
126.8406	2.799	baseline	18	0.004	The loss of the cruiser was a blow to the fleet.	0
131.8574	2.4851	baseline	19	0.004	The goose was brought straight from the old market.	0
136.5574	2.7118	baseline	20	0.004	The sink is the thing in which we pile dishes.	0
141.1408	4.0069	random1	1	0.139	The new girl was fired today at noon.	1
147.4742	3.704	random1	2	0.106	Torn scraps littered the stone floor.	1
153.1243	4.8682	random1	3	0.236	They felt gay when the ship arrived in port.	1
168.4079	4.5967	random1	4	0.248	The doctor cured him with these pills.	1
175.242	3.7131	random1	5	0.073	Add the store's account to the last cent.	1
180.8247	3.737	random1	6	0.07	The child almost hurt the small dog.	1
186.2581	4.1741	random1	7	0.131	The sky that morning was clear and bright blue.	1
192.4083	2.5668	random1	8	0.044	Sunday is the best part of the week.	0
197.5416	3.56	random1	9	0.094	There was a sound of dry leaves outside.	0
204.2584	3.3455	random1	10	0.178	Steam hissed from the broken valve.	1
209.3418	3.9807	random1	11	0.188	The bloom of the rose lasts a few days.	1
215.7086	3.5804	random1	12	0.092	Drop the ashes on the worn old rug.	1
221.0754	3.4923	random1	13	0.049	The man wore a feather in his felt hat.	1
231.6255	3.7875	random1	14	0.179	A gray mare walked before the colt.	1
236.7756	4.1879	random1	15	0.169	Throw out the used paper cup and plate.	1
243.209	4.169	random1	16	0.155	The desk and both chairs were painted tan.	1
249.0925	4.3079	random1	17	0.124	He wheeled the bike past the winding road.	1
255.6259	4.6528	random1	18	0.211	Breakfast buns are fine with a hot drink.	1
262.1927	3.5727	random1	19	0.109	Bottles hold four kinds of rum.	1
267.7427	3.1653	random1	20	0.035	They slice the sausage thin with a knife.	0
282.1596	4.9843	random1	21	0.111	They floated on the raft to sun their white backs.	1
288.7764	3.3663	random1	22	0.069	Jerk the rope and the bell rings weakly.	0
293.9932	5.3477	random1	23	0.247	He broke his ties with groups of former friends.	1
300.5766	3.667	random1	24	0.149	Try to have the court decide the case.	1
305.8933	3.893	random1	25	0.153	The map had an X that meant nothing.	1
311.5434	3.5135	random1	26	0.074	Madam, this is the best brand of corn.	1
317.5769	3.0786	random1	27	0.031	A waxed floor makes us lose balance.	1
322.0272	3.659	random1	28	0.243	Some ads serve to cheat buyers.	1
327.3603	5.1962	random1	29	0.246	Whitings are small fish caught in nets.	1
342.7271	4.3217	random1	30	0.109	They are pushed back each time they attack.	1
348.4773	3.9462	random1	31	0.083	The club rented the rink for the fifth night.	1
353.6774	4.3927	random1	32	0.086	A fresh start will work such wonders.	1
359.4274	2.6737	random1	33	0.017	After the dance, they went straight home.	0
363.4109	4.6247	random1	34	0.233	Even the worst will beat his low score.	1
369.361	4.2891	random1	35	0.167	Float the soap on top of the bath water.	1
374.6943	5.3143	random1	36	0.25	The lure is used to catch trout and flounder.	1
381.5111	2.9443	random1	37	0.059	A blue crane is a tall wading bird.	0
385.6451	2.9213	random1	38	0.031	The hostess taught the new maid to serve.	0
389.6946	4.4224	random1	39	0.202	The brown house was on fire to the attic.	1
395.4447	4.5268	random1	40	0.161	He wrote his last novel there at the inn.	1
401.1947	2.7599	random1	41	0.026	The grass curled around the fence post.	0
405.2448	3.7645	random1	42	0.127	The lawyer tried to lose his case.	1
410.1803	2.652	random1	43	0.007	The hat brim was wide and too droopy.	0
414.0616	3.8335	random1	44	0.101	See the cat glaring at the scared mouse.	1
418.9117	4.7099	random1	45	0.246	The Navy attacked the big task force.	1
424.6952	2.6215	random1	46	0.009	Men strive but seldom get rich.	0
428.5619	5.2411	random1	47	0.252	Always close the barn door tight.	1
435.4786	3.0352	random1	48	0.15	Cut the pie into large parts.	1
440.246	4.5143	random1	49	0.18	He lay prone and hardly moved a limb.	1
445.8621	4.0409	random1	50	0.14	There are more than two factors here.	1
451.3122	4.4134	adaption	1	0.204	The friendly gang left the drug store.	1
456.9789	3.6414	adaption	2	0.204	Mesh wire keeps chicks inside.	1
461.9124	3.8186	adaption	3	0.204	The ship was torn apart on the sharp reef.	1
467.5124	4.1771	adaption	4	0.204	The wide road shimmered in the hot sun.	1
472.8791	4.7209	adaption	5	0.204	Sickness kept him home the third week.	1
478.7626	4.3481	adaption	6	0.204	The lazy cow lay in the cool grass.	1
484.1794	5.3296	adaption	7	0.204	The rope will bind the seven books at once.	1
491.3628	4.1768	adaption	8	0.204	Hop over the fence and plunge in.	1
497.0628	4.3392	adaption	9	0.204	A king ruled the state in the early days.	1
502.5797	3.9891	adaption	10	0.204	Lift the square stone over the fence.	1
507.6963	3.9352	adaption	11	0.204	Fairy tales should be fun to write.	1
512.7631	4.235	adaption	12	0.204	She has a smart way of wearing clothes.	1
517.9966	4.7842	adaption	13	0.204	He carved a head from the round block of marble.	1
524.1633	3.768	adaption	14	0.204	A young child should not suffer fright.	1
529.1967	4.9411	adaption	15	0.204	The third act was dull and tired the players.	1
541.0469	3.8322	adaption	16	0.204	Eight miles of woodland burned to waste.	1
548.4803	3.0132	adaption	17	0.204	Add the column and put the sum here.	0
554.6804	3.6194	adaption	18	0.204	Acid burns holes in wool cloth.	1
559.4475	4.3549	adaption	19	0.204	There the flood mark is ten inches.	1
566.4646	3.8881	adaption	20	0.204	We admire and love a good cook.	1
571.7473	4.6199	adaption	21	0.204	A vent near the edge brought in fresh air.	1
577.8807	4.7729	adaption	22	0.204	Bribes fail where honest men work.	1
584.2142	4.4219	adaption	23	0.204	The hilt of the sword was carved with fine designs.	1
589.781	4.7417	adaption	24	0.204	Paint the sockets in the wall dull green.	1
596.1977	3.7555	adaption	25	0.204	A round hole was drilled through the thin board.	1
601.1978	3.6982	adaption	26	0.204	She was waiting at my front lawn.	1
605.9145	4.2522	adaption	27	0.204	Prod the old mule with a crooked stick.	1
612.0646	5.0044	adaption	28	0.204	The child crawled into the dense grass.	1
618.6147	4.6367	adaption	29	0.204	Trample the spark, else the flames will spread.	1
624.7148	4.823	adaption	30	0.204	Footprints showed the path he took up the beach.	1
630.8816	4.5508	adaption	31	0.204	Sever the twine with a quick snip of the knife.	1
636.415	4.416	adaption	32	0.204	They took their kids from the public school.	1
641.8817	3.4442	adaption	33	0.204	A sullen smile gets few friends.	1
646.3651	3.9996	adaption	34	0.204	Help the weak to preserve their strength.	1
652.0653	3.9859	adaption	35	0.204	Every word and phrase he speaks is true.	1
657.9986	4.5389	adaption	36	0.204	Slide the catch back and open the desk.	1
670.5321	4.5703	adaption	37	0.204	Keep the hatch tight and the watch constant.	1
676.449	3.7242	adaption	38	0.204	Drive the screw straight into the wood.	1
681.3657	3.5183	adaption	39	0.204	Paper will dry out when wet.	1
686.249	5.4892	adaption	40	0.204	He put his last cartridge into the gun and fired.	1
692.8492	3.3519	adaption	41	0.204	Take the winding path to reach the lake.	1
697.766	3.7058	adaption	42	0.204	The stray cat gave birth to kittens.	1
703.0327	4.2856	adaption	43	0.204	The wrist was badly strained and hung limp.	1
708.4828	4.0422	adaption	44	0.204	Mend the coat before you go out.	1
713.6661	2.9459	adaption	45	0.204	What joy there is in living.	1
717.7355	3.5073	adaption	46	0.204	Hoist the load to your left shoulder.	1
722.6829	4.2465	adaption	47	0.204	The meal was cooked before the bell rang.	1
728.4664	3.9816	adaption	48	0.204	Note closely the size of the gas tank.	1
734.7332	4.0092	adaption	49	0.204	The young girl gave no clear response.	1
740.0332	4.1478	adaption	50	0.204	Wipe the grease off his dirty face.	1
745.1666	4.0212	adaption	51	0.204	Seed is needed to plant the spring corn.	1
750.2834	4.351	adaption	52	0.204	The chap slipped into the crowd and was lost.	1
755.8502	4.4868	adaption	53	0.204	The ramp led up to the wide highway.	1
761.717	4.5066	adaption	54	0.204	The boy owed his pal thirty cents.	1
767.417	3.8052	adaption	55	0.204	Hats are worn to tea and not to dinner.	1
772.3838	4.3571	adaption	56	0.204	Say it slowly but make it ring clear.	1
777.8339	3.8657	adaption	57	0.204	Beat the dust from the rug onto the lawn.	1
783.8172	4.4168	adaption	58	0.204	Screen the porch with woven straw mats.	1
789.9506	4.146	adaption	59	0.204	The straw nest housed five robins.	1
795.5841	4.4789	adaption	60	0.204	Draw the chart with heavy black lines.	1
801.4675	4.826	adaption	61	0.204	The cold drizzle will halt the bond drive.	1
807.8009	4.3791	adaption	62	0.204	The red tape bound the smuggled food.	1
813.4843	4.1583	adaption	63	0.204	The junk yard had a mouldy smell.	1
818.8178	5.0473	adaption	64	0.204	Nine men were hired to dig the ruins.	1
825.4012	5.4941	adaption	65	0.204	The horse trotted around the field at a brisk pace.	1
832.1013	3.9367	adaption	66	0.204	Look in the corner to find the tan shirt.	1
837.5847	5.1236	adaption	67	0.204	Find the twin who stole the pearl necklace.	1
843.7348	5.2119	adaption	68	0.204	The flint sputtered and lit a pine torch.	1
849.9682	4.945	adaption	69	0.204	Cut the cord that binds the box tightly.	1
855.9016	5.65	adaption	70	0.204	Soak the cloth and drown the sharp odor.	1
862.9684	4.5417	adaption	71	0.204	The fruit peel was cut in thick slices.	1
869.0851	5.0874	adaption	72	0.204	The heart beat strongly and with firm strokes.	1
875.9186	4.4922	adaption	73	0.204	The walled town was seized without a fight.	1
881.652	5.0293	adaption	74	0.204	The two met while playing on the sand.	1
891.2188	5.172	adaption	75	0.204	The horn of the car woke the sleeping cop.	1
898.169	4.6762	adaption	76	0.204	The ink stain dried on the finished page.	1
904.219	4.7126	adaption	77	0.204	The lease ran out in sixteen weeks.	1
910.1028	4.1955	adaption	78	0.204	A tame squirrel makes a nice pet.	1
916.0859	5.7865	adaption	79	0.204	The pearl was worn in a thin silver ring.	1
924.236	4.9626	adaption	80	0.204	A yacht slid around the point into the bay.	1
930.5194	3.35	random2	1	0.028	The chair looked strong but had no bottom.	0
935.7361	4.8116	random2	2	0.194	Dispense with a vest on a day like this.	1
