onset	duration	trial_type	trial	delay	sentence	detected_delay
42.072	4.8059	baseline	1	0.004	The gold ring fits only a pierced ear.	1
54.3222	3.6009	baseline	2	0.004	His shirt was clean but one button was gone.	1
60.339	4.0545	baseline	3	0.004	The node on the stalk of wheat grew daily.	1
68.239	3.2406	baseline	4	0.004	Write fast if you want to finish early.	0
75.3725	3.6252	baseline	5	0.004	The mute muffled the high tones of the horn.	1
81.4893	3.6351	baseline	6	0.004	Tin cans are absent from store shelves.	0
87.156	3.9188	baseline	7	0.004	The old pan was covered with hard fudge.	0
92.8894	3.3761	baseline	8	0.004	Watch the log float in the wide river.	0
97.8562	4.1997	baseline	9	0.004	The barrel of beer was a brew of malt and hops.	0
104.0062	3.3525	baseline	10	0.004	The heap of fallen leaves was set on fire.	1
108.923	3.3304	baseline	11	0.004	Green ice frosted the punch bowl.	1
113.7397	3.0645	baseline	12	0.004	The gloss on top made it unfit to read.	1
118.3898	4.6369	baseline	13	0.004	A stuffed chair slipped from the moving van.	0
126.3065	3.5265	baseline	14	0.004	Our troops are set to strike heavy blows.	0
132.0566	3.119	baseline	15	0.004	A thin book fits in the side pocket.	0
136.8234	3.6788	baseline	16	0.004	A flat pack takes less luggage space.	0
141.9735	3.8634	baseline	17	0.004	The steady drip is worse than a drenching rain.	0
153.0236	4.4744	baseline	18	0.004	The hail pattered on the burnt brown grass.	0
160.9238	4.0282	baseline	19	0.004	The stitch will serve but needs to be shortened.	0
166.8905	3.9001	baseline	20	0.004	Seven seals were stamped on great sheets.	0
175.524	6.3838	random1	1	0.251	Dunk the stale biscuits into strong drink.	1
183.6241	4.3622	random1	2	0.046	The slab was hewn from heavy blocks of slate.	1
189.9575	5.115	random1	3	0.162	The roof should be tilted at a sharp slant.	1
199.2077	5.0145	random1	4	0.207	To send it now in large amounts is bad.	1
208.8412	4.3227	random1	5	0.075	Cod is the main business of the north shore.	1
216.3413	3.325	random1	6	0.025	The rarest spice comes from the far East.	0
223.4581	4.2461	random1	7	0.15	There is a fine hard tang in salty air.	1
230.0414	4.1812	random1	8	0.037	The aim of the contest is to raise a great fund.	0
240.9583	4.2535	random1	9	0.184	The mule trod the treadmill day and night.	1
250.4584	3.6631	random1	10	0.198	A smatter of French is worse than none.	1
259.2252	3.7982	random1	11	0.055	After the dance, they went straight home.	1
266.092	4.3294	random1	12	0.213	He wrote his last novel there at the inn.	1
279.3422	4.092	random1	13	0.105	The hostess taught the new maid to serve.	1
284.9423	4.3304	random1	14	0.193	Float the soap on top of the bath water.	1
296.1924	3.3977	random1	15	0.009	The brown house was on fire to the attic.	0
303.6426	6.4889	random1	16	0.208	The club rented the rink for the fifth night.	1
316.3598	6.3525	random1	17	0.232	A blue crane is a tall wading bird.	1
329.6763	4.0012	random1	18	0.082	A fresh start will work such wonders.	1
341.2098	3.2249	random1	19	0.037	Even the worst will beat his low score.	0
348.4433	4.3894	random1	20	0.077	The lure is used to catch trout and flounder.	1
367.2436	4.3043	random1	21	0.243	Carry the pail to the wall and spill it there.	1
375.7937	3.5523	random1	22	0.053	The train brought our hero to the big town.	0
383.0105	3.5897	random1	23	0.077	Gray paint stretched for miles around.	0
393.7273	4.6139	random1	24	0.128	A zestful food is the hot-cross bun.	1
402.8774	3.1818	random1	25	0.011	We are sure that one war is enough.	0
409.8108	3.6945	random1	26	0.14	The dark pot hung in the front closet.	1
425.8444	4.0408	random1	27	0.125	High seats are best for football fans.	1
433.3612	3.1544	random1	28	0.01	A dash of pepper spoils beef stew.	0
438.4946	3.5796	random1	29	0.082	Tea served from the brown jug is tasty.	0
446.4947	2.8815	random1	30	0.033	The rude laugh filled the empty room.	0
453.6948	3.8554	random1	31	0.004	The wide road shimmered in the hot sun.	0
459.2949	3.2621	random1	32	0.015	Lift the square stone over the fence.	0
469.595	4.0791	random1	33	0.058	Mesh wire keeps chicks inside.	0
480.3952	3.0525	random1	34	0.022	The lazy cow lay in the cool grass.	0
