onset	duration	trial_type	trial	delay	sentence	detected_delay
24.6239	2.5211	baseline	1	0.004	Sunday is the best part of the week.	0
42.1576	2.2231	baseline	2	0.004	The doctor cured him with these pills.	0
49.641	2.7937	baseline	3	0.004	Add the store's account to the last cent.	0
57.4411	4.2392	baseline	4	0.004	They felt gay when the ship arrived in port.	0
69.5613	2.9644	baseline	5	0.004	The child almost hurt the small dog.	0
79.0248	2.8584	baseline	6	0.004	There was a sound of dry leaves outside.	0
89.0249	3.5116	baseline	7	0.004	Torn scraps littered the stone floor.	0
99.2917	3.7222	baseline	8	0.004	The sky that morning was clear and bright blue.	0
111.1919	2.4913	baseline	9	0.004	The new girl was fired today at noon.	0
118.092	2.2375	baseline	10	0.004	Steam hissed from the broken valve.	0
124.5754	2.8644	baseline	11	0.004	Look in the corner to find the tan shirt.	0
132.4589	4.5945	baseline	12	0.004	The cold drizzle will halt the bond drive.	0
144.0758	3.0311	baseline	13	0.004	The horse trotted around the field at a brisk pace.	0
152.2265	2.3663	baseline	14	0.004	The junk yard had a mouldy smell.	0
159.176	2.767	baseline	15	0.004	Soak the cloth and drown the sharp odor.	0
167.5928	2.5402	baseline	16	0.004	Cut the cord that binds the box tightly.	0
174.3095	2.8457	baseline	17	0.004	The flint sputtered and lit a pine torch.	0
182.9097	2.4434	baseline	18	0.004	The red tape bound the smuggled food.	0
189.7431	2.8	baseline	19	0.004	Find the twin who stole the pearl necklace.	0
200.46	2.8326	baseline	20	0.004	Nine men were hired to dig the ruins.	0
209.4601	3.502	random1	1	0.104	He picked up the dice for a second roll.	1
221.0436	2.6598	random1	2	0.012	New pants lack cuffs and pockets.	1
226.2103	3.4596	random1	3	0.207	The dry wax protects the deep scratch.	1
235.5605	3.1151	random1	4	0.183	The smell of burned rags itches my nose.	1
242.9939	3.0239	random1	5	0.035	This horse will nose his way to the finish.	1
249.0273	2.7091	random1	6	0.073	Twist the valve and release hot steam.	1
255.0113	2.8595	random1	7	0.161	The vamp of the shoe had a gold buckle.	1
260.7275	3.4138	random1	8	0.236	These coins will be needed to pay his debt.	1
268.928	2.6833	random1	9	0.041	The marsh will freeze when cold enough.	0
276.3611	2.7523	random1	10	0.121	The nag pulled the frail cart along.	1
281.5278	6.3754	random1	11	0.119	The just claim got the right verdict.	1
294.078	3.5508	random1	12	0.096	The spot on the blotter was made by green ink.	1
303.2448	3.5737	random1	13	0.159	The cigar burned a hole in the desk top.	1
309.9116	3.0814	random1	14	0.149	Guess the result from the first scores.	1
317.529	2.718	random1	15	0.195	Pure bred poodles have curls.	1
323.2118	3.0497	random1	16	0.108	The tree top waved in a graceful way.	1
330.6286	3.7269	random1	17	0.251	Mud was spattered on the front of his white shirt.	1
337.162	3.6239	random1	18	0.147	The young kid jumped the rusty gate.	1
347.4455	2.93	random1	19	0.144	A salt pickle tastes fine with ham.	1
353.9289	3.4928	random1	20	0.171	Those thistles bend in a high wind.	1
361.9457	3.41	random1	21	0.234	The price is fair for a good antique clock.	1
369.6129	3.173	random1	22	0.14	A clean neck means a neat collar.	1
375.9125	3.0077	random1	23	0.105	Turn out the lantern which gives us light.	1
382.1325	3.2021	random1	24	0.211	The wall phone rang loud and often.	1
387.596	3.5612	random1	25	0.239	The clothes dried on a thin wooden rack.	1
393.7462	3.4974	random1	26	0.09	The couch cover and hall drapes were blue.	1
400.263	3.8989	random1	27	0.187	The stems of the tall glasses cracked and broke.	1
410.4297	3.5697	random1	28	0.238	The cleat sank deeply into the soft turf.	1
417.1465	3.1314	random1	29	0.233	To have is better than to wait and hope.	1
423.13	3.6502	random1	30	0.184	The bills were mailed promptly on the tenth of the month.	1
430.2801	3.2663	random1	31	0.028	The night shift men rate extra pay.	0
435.6303	3.0429	random1	32	0.048	Slide the bill between the two leaves.	0
440.9469	3.2849	random1	33	0.07	We don't like to admit our small faults.	0
447.7136	3.4604	random1	34	0.11	Many hands help get the job done.	0
453.7137	3.5867	random1	35	0.046	Put the chart on the mantel and tack it down.	0
459.3305	3.2486	random1	36	0.167	Dig deep in the earth for pirate's gold.	1
465.798	3.0916	random1	37	0.164	See the player scoot to third base.	1
472.1474	4.0604	random1	38	0.151	The red paper brightened the dim stage.	1
481.5309	3.2906	random1	39	0.13	Dots of light betrayed the black cat.	1
488.4643	2.9236	random1	40	0.231	No doubt about the way the wind blows.	1
494.4977	2.9766	random1	41	0.009	The zones merge in the central part of town.	0
499.3812	3.2678	random1	42	0.098	Try to trace the fine lines of the painting.	1
504.8313	3.3444	random1	43	0.14	The idea is to sew both edges straight.	1
510.1146	2.9878	random1	44	0.107	Code is used when secrets are sent.	1
515.2314	3.2218	random1	45	0.177	Nine rows of soldiers stood in a line.	1
521.9148	3.6645	random1	46	0.215	The beach is dry and shallow at low tide.	1
528.6982	3.6314	random1	47	0.167	Pages bound in cloth make a book.	1
538.5484	3.0908	random1	48	0.122	The kitten chased the dog down the street.	1
546.2651	4.124	random1	49	0.007	A gem in the rough needs work to polish.	0
553.5653	2.8542	random1	50	0.022	Women form less than half of the group.	0
558.7821	3.1641	adaption	1	0.204	She called his name many times.	1
565.2822	3.5901	adaption	2	0.204	A pink shell was found on the sandy beach.	1
571.9322	2.6906	adaption	3	0.204	Small children came to see him.	1
576.7322	3.5133	adaption	4	0.204	A gold ring will please most any girl.	1
582.1324	3.9917	adaption	5	0.204	A severe storm tore down the barn.	1
588.2158	3.0589	adaption	6	0.204	The long journey home took a year.	1
595.7493	3.0835	adaption	7	0.204	The grass and bushes were wet with dew.	1
601.4827	3.3166	adaption	8	0.204	She saw a cat in the neighbor's house.	1
607.6327	3.181	adaption	9	0.204	The blind man counted his old coins.	1
613.8495	2.7948	adaption	10	0.204	When you hear the bell, come quickly.	1
619.1663	3.3806	adaption	11	0.204	The hat brim was wide and too droopy.	1
625.9664	3.0508	adaption	12	0.204	The lawyer tried to lose his case.	1
632.8499	3.4295	adaption	13	0.204	He lay prone and hardly moved a limb.	1
639.3333	2.9605	adaption	14	0.204	Men strive but seldom get rich.	1
647.35	2.638	adaption	15	0.204	The Navy attacked the big task force.	1
652.8334	2.6492	adaption	16	0.204	Always close the barn door tight.	1
658.5502	3.0907	adaption	17	0.204	Cut the pie into large parts.	1
664.9337	3.1057	adaption	18	0.204	See the cat glaring at the scared mouse.	1
672.2338	2.6119	adaption	19	0.204	There are more than two factors here.	1
678.2839	2.6162	adaption	20	0.204	The grass curled around the fence post.	1
684.4507	2.9677	adaption	21	0.204	Take a chance and win a china doll.	1
690.6174	3.1115	adaption	22	0.204	Their eyelids droop for want of sleep.	1
697.3175	2.6498	adaption	23	0.204	We like to see clear weather.	1
703.4509	3.4346	adaption	24	0.204	Oats are a food eaten by horse and man.	1
712.5344	3.461	adaption	25	0.204	A man in a blue sweater sat at the desk.	1
718.8178	3.552	adaption	26	0.204	A sip of tea revives his tired friend.	1
725.3512	3.4088	adaption	27	0.204	The work of the tailor is seen on each side.	1
735.5347	2.687	adaption	28	0.204	There are many ways to do these things.	1
741.1348	3.3574	adaption	29	0.204	A force equal to that would move the earth.	1
748.1016	2.9728	adaption	30	0.204	Tuck the sheet under the edge of the mat.	1
753.8684	3.9724	adaption	31	0.204	The lobes of her ears were pierced to hold rings.	1
761.3851	3.3819	adaption	32	0.204	The brass tube circled the high wall.	1
768.2352	7.0012	adaption	33	0.204	The green light in the brown box flickered.	1
782.5687	4.0088	adaption	34	0.204	It is a band of steel three inches wide.	1
790.5188	3.3369	adaption	35	0.204	The pipe ran almost the length of the ditch.	1
796.7523	3.8057	adaption	36	0.204	Wake and rise, and step into the green outdoors.	1
803.6857	3.3187	adaption	37	0.204	Hold the hammer near the end to drive the nail.	1
809.8692	3.2056	adaption	38	0.204	Next Sunday is the twelfth of the month.	1
816.186	4.311	adaption	39	0.204	The weight of the package was seen on the high scale.	1
826.2527	4.3617	adaption	40	0.204	It was hidden from sight by a mass of leaves and shrubs.	1
836.7529	3.3871	adaption	41	0.204	Note closely the size of the gas tank.	1
845.0696	3.3163	adaption	42	0.204	Take the winding path to reach the lake.	1
852.1365	3.2317	adaption	43	0.204	Wipe the grease off his dirty face.	1
858.5532	3.2774	adaption	44	0.204	The stray cat gave birth to kittens.	1
866.0033	3.1375	adaption	45	0.204	Mend the coat before you go out.	1
871.8201	3.559	adaption	46	0.204	The young girl gave no clear response.	1
878.3702	2.9434	adaption	47	0.204	What joy there is in living.	1
885.2703	3.6974	adaption	48	0.204	The wrist was badly strained and hung limp.	1
894.2204	4.4569	adaption	49	0.204	Hoist the load to your left shoulder.	1
907.4707	3.5315	adaption	50	0.204	The meal was cooked before the bell rang.	1
915.0207	3.7316	adaption	51	0.204	He wrote his last novel there at the inn.	1
927.8542	3.3669	adaption	52	0.204	The club rented the rink for the fifth night.	1
934.4377	3.6058	adaption	53	0.204	Even the worst will beat his low score.	1
941.7378	3.9037	adaption	54	0.204	A fresh start will work such wonders.	1
949.788	3.6755	adaption	55	0.204	A blue crane is a tall wading bird.	1
958.0881	3.6374	adaption	56	0.204	The hostess taught the new maid to serve.	1
970.405	3.2855	adaption	57	0.204	Float the soap on top of the bath water.	1
976.8384	3.8343	adaption	58	0.204	The lure is used to catch trout and flounder.	1
984.0718	3.3832	adaption	59	0.204	After the dance, they went straight home.	1
991.0053	3.8718	adaption	60	0.204	The brown house was on fire to the attic.	1
998.6387	3.3486	adaption	61	0.204	A gray mare walked before the colt.	1
1004.6721	3.1857	adaption	62	0.204	Bottles hold four kinds of rum.	1
1011.7055	3.8464	adaption	63	0.204	The man wore a feather in his felt hat.	1
1019.0557	4.3422	adaption	64	0.204	He wheeled the bike past the winding road.	1
1026.9225	3.4256	adaption	65	0.204	They slice the sausage thin with a knife.	1
1034.1559	3.5504	adaption	66	0.204	Throw out the used paper cup and plate.	1
1040.6227	3.226	adaption	67	0.204	Breakfast buns are fine with a hot drink.	1
1047.1061	4.1008	adaption	68	0.204	The desk and both chairs were painted tan.	1
1056.9396	3.1372	adaption	69	0.204	Drop the ashes on the worn old rug.	1
1063.2229	3.5001	adaption	70	0.204	The bloom of the rose lasts a few days.	1
1069.7231	3.4384	adaption	71	0.204	Plead to the council to free the poor thief.	1
1077.5566	2.979	adaption	72	0.204	Tend the sheep while the dog wanders.	1
1083.8067	3.2392	adaption	73	0.204	The lake sparkled in the red hot sun.	1
1090.2234	3.4368	adaption	74	0.204	The key you designed will fit the lock.	1
1099.4402	3.3538	adaption	75	0.204	Better hash is made of rare beef.	1
