onset	duration	trial_type	trial	delay	sentence	detected_delay
41.7556	3.4021	baseline	1	0.004	The grass and bushes were wet with dew.	0
53.4057	4.4528	baseline	2	0.004	A gold ring will please most any girl.	0
63.2726	3.1918	baseline	3	0.004	She saw a cat in the neighbor's house.	0
69.4726	4.142	baseline	4	0.004	A pink shell was found on the sandy beach.	0
77.7227	3.0341	baseline	5	0.004	When you hear the bell, come quickly.	0
82.8729	2.9146	baseline	6	0.004	The long journey home took a year.	0
88.2063	3.2277	baseline	7	0.004	A severe storm tore down the barn.	0
93.6563	2.3446	baseline	8	0.004	She called his name many times.	0
97.8064	3.0812	baseline	9	0.004	The blind man counted his old coins.	0
102.9898	3.0726	baseline	10	0.004	Small children came to see him.	1
112.0733	2.7789	baseline	11	0.004	A force equal to that would move the earth.	0
116.19	2.8131	baseline	12	0.004	The work of the tailor is seen on each side.	0
120.2401	2.626	baseline	13	0.004	Tuck the sheet under the edge of the mat.	0
125.4068	3.1779	baseline	14	0.004	A sip of tea revives his tired friend.	0
130.7736	3.1298	baseline	15	0.004	Their eyelids droop for want of sleep.	0
136.4236	2.8864	baseline	16	0.004	There are many ways to do these things.	0
143.5571	2.5992	baseline	17	0.004	We like to see clear weather.	0
148.1238	3.2232	baseline	18	0.004	A man in a blue sweater sat at the desk.	0
154.3572	3.4121	baseline	19	0.004	Oats are a food eaten by horse and man.	0
161.1073	2.9004	baseline	20	0.004	Take a chance and win a china doll.	0
166.0575	3.7809	random1	1	0.027	She danced like a swan, tall and graceful.	1
180.9576	4.0769	random1	2	0.174	The last switch cannot be turned off.	1
189.7578	4.4664	random1	3	0.109	Let's all join as we sing the last chorus.	1
197.4246	3.9338	random1	4	0.041	Slide the box into that empty space.	1
203.9913	3.9974	random1	5	0.109	The fight will end in just six minutes.	1
210.1581	3.6772	random1	6	0.1	The beam dropped down on the workman's head.	1
216.8249	3.6167	random1	7	0.06	The plant grew large and green in the window.	1
223.5916	4.1201	random1	8	0.028	The tube was blown and the tire flat and useless.	1
230.425	4.061	random1	9	0.033	Pink clouds floated with the breeze.	1
237.5752	5.8126	random1	10	0.165	It is late morning on the old wall clock.	1
245.2086	4.4656	random1	11	0.076	It takes a lot of help to finish these.	1
252.0087	4.3358	random1	12	0.107	Take two shares as a fair profit.	1
257.8921	6.5304	random1	13	0.244	Mark the spot with a sign painted red.	1
265.9089	4.1282	random1	14	0.108	A sash of gold silk will trim her dress.	1
272.3591	2.9407	random1	15	0.026	Go now and come here later.	0
279.0924	2.9097	random1	16	0.032	He asks no person to vouch for him.	0
283.8592	3.6935	random1	17	0.113	That move means the game is over.	1
