onset	duration	trial_type	trial	delay	sentence	detected_delay
46.9223	4.4842	baseline	1	0.004	They are pushed back each time they attack.	0
64.6558	3.8824	baseline	2	0.004	Madam, this is the best brand of corn.	0
75.1726	4.0589	baseline	3	0.004	Some ads serve to cheat buyers.	0
84.8395	4.0217	baseline	4	0.004	The map had an X that meant nothing.	1
95.2729	4.3455	baseline	5	0.004	Try to have the court decide the case.	0
109.4071	4.0078	baseline	6	0.004	A waxed floor makes us lose balance.	0
123.14	4.4954	baseline	7	0.004	He broke his ties with groups of former friends.	1
135.5569	5.3311	baseline	8	0.004	They floated on the raft to sun their white backs.	1
146.3571	4.4004	baseline	9	0.004	Whitings are small fish caught in nets.	0
158.9912	5.7948	baseline	10	0.004	Jerk the rope and the bell rings weakly.	1
172.7408	5.7058	baseline	11	0.004	This will lead the world to more sound and fury.	1
185.7743	4.3093	baseline	12	0.004	To make pure ice, you freeze water.	0
199.8245	4.3196	baseline	13	0.004	The rush for funds reached its peak Tuesday.	0
210.808	5.1812	baseline	14	0.004	The birch looked stark white and lonesome.	0
222.9082	4.2701	baseline	15	0.004	The box is held by a bright red snapper.	0
234.725	4.5143	baseline	16	0.004	The first worm gets snapped early.	1
246.5585	4.1339	baseline	17	0.004	Add salt before you fry the egg.	1
259.1754	3.506	baseline	18	0.004	Jump the fence and hurry up the bank.	0
268.0089	5.0699	baseline	19	0.004	The play began as soon as we sat down.	1
286.5258	4.4765	baseline	20	0.004	On the islands the sea breeze is soft and mild.	0
294.3426	4.9456	random1	1	0.022	Tin cans are absent from store shelves.	1
304.7594	5.2781	random1	2	0.036	Watch the log float in the wide river.	1
317.4097	5.0247	random1	3	0.063	His shirt was clean but one button was gone.	1
330.1098	4.8415	random1	4	0.145	The node on the stalk of wheat grew daily.	1
344.5434	4.4523	random1	5	0.188	The gold ring fits only a pierced ear.	1
354.7435	5.4334	random1	6	0.228	The heap of fallen leaves was set on fire.	1
367.877	5.3047	random1	7	0.095	The barrel of beer was a brew of malt and hops.	1
384.3804	3.8535	random1	8	0.054	Write fast if you want to finish early.	1
404.9443	4.2123	random1	9	0.109	The old pan was covered with hard fudge.	0
413.4611	4.4293	random1	10	0.111	The mute muffled the high tones of the horn.	1
425.6113	4.468	random1	11	0.1	Where were they when the noise started.	1
437.6448	4.4076	random1	12	0.223	The fruit of a fig tree is apple shaped.	1
456.5784	4.7252	random1	13	0.182	Sell your gift to a buyer at a good gain.	1
467.4119	4.0651	random1	14	0.158	The paper box is full of thumb tacks.	1
478.3621	4.0721	random1	15	0.059	The tongs lay beside the ice pail.	0
486.1289	4.4473	random1	16	0.216	The petals fall with the next puff of wind.	1
496.1457	3.6042	random1	17	0.066	They could laugh although they were sad.	0
509.8792	5.0268	random1	18	0.145	Bring your best compass to the third class.	1
523.7127	5.9816	random1	19	0.223	Farmers came in to thresh the oat crop.	0
534.8462	4.4297	random1	20	0.017	Corn cobs can be used to kindle a fire.	0
542.563	3.9431	random1	21	0.049	Yell and clap as the curtain slides back.	0
548.6131	3.1397	random1	22	0.011	Both brothers wear the same size.	0
553.8132	4.274	random1	23	0.08	In some form or other we need fun.	1
563.58	4.2168	random1	24	0.249	Ducks fly north but lack a compass.	1
571.9968	3.8939	random1	25	0.024	They are men who walk the middle of the road.	1
578.0802	4.081	random1	26	0.131	These pills do less good than others.	1
584.5137	3.9499	random1	27	0.163	The prince ordered his head chopped off.	1
593.8638	3.6455	random1	28	0.193	Canned pears lack full flavor.	1
599.8639	3.8119	random1	29	0.064	Fruit flavors are used in fizz drinks.	0
606.3807	4.7972	random1	30	0.162	The houses are built of red clay bricks.	1
613.3308	3.7576	random1	31	0.053	Sunday is the best part of the week.	0
619.1809	4.6498	random1	32	0.112	There was a sound of dry leaves outside.	1
633.7311	5.6397	random1	33	0.084	They felt gay when the ship arrived in port.	0
644.9479	3.9965	random1	34	0.229	Add the store's account to the last cent.	1
651.9814	9.0318	random1	35	0.222	Steam hissed from the broken valve.	1
665.8316	4.4834	random1	36	0.18	Torn scraps littered the stone floor.	1
676.5484	3.7161	random1	37	0.033	The new girl was fired today at noon.	0
682.9818	3.3293	random1	38	0.055	The doctor cured him with these pills.	0
689.582	4.4071	random1	39	0.09	The sky that morning was clear and bright blue.	0
699.9821	3.4606	random1	40	0.147	The child almost hurt the small dog.	1
707.6322	3.7046	random1	41	0.044	Thieves who rob friends deserve jail.	0
712.9156	4.2677	random1	42	0.196	The ripe taste of cheese improves with age.	1
723.3658	3.895	random1	43	0.211	Act on these orders with great speed.	1
730.2826	3.6165	random1	44	0.009	Move the vat over the hot fire.	0
735.4826	4.1911	random1	45	0.189	Add the sum to the product of these three.	1
742.1327	3.2595	random1	46	0.03	Cats and Dogs each hate the other.	0
746.8995	4.1953	random1	47	0.051	The pipe began to rust while new.	0
759.2663	3.6815	random1	48	0.125	Open the crate but don't break the glass.	1
765.0497	4.2805	random1	49	0.215	The hog crawled under the high fence.	1
771.9999	3.9287	random1	50	0.056	Oak is strong and also gives shade.	1
779.1333	4.3134	adaption	1	0.204	The clothes dried on a thin wooden rack.	1
789.2168	4.0834	adaption	2	0.204	The wall phone rang loud and often.	1
795.8835	4.6869	adaption	3	0.204	The stems of the tall glasses cracked and broke.	1
802.317	4.8037	adaption	4	0.204	The bills were mailed promptly on the tenth of the month.	1
810.1838	4.959	adaption	5	0.204	Turn out the lantern which gives us light.	1
825.0673	4.4639	adaption	6	0.204	The couch cover and hall drapes were blue.	1
831.1508	4.7467	adaption	7	0.204	The cleat sank deeply into the soft turf.	0
838.1846	4.5992	adaption	8	0.204	To have is better than to wait and hope.	1
844.5843	4.478	adaption	9	0.204	A clean neck means a neat collar.	1
850.5844	4.2124	adaption	10	0.204	The price is fair for a good antique clock.	1
856.6511	4.5682	adaption	11	0.204	Cut the pie into large parts.	1
864.7846	4.2966	adaption	12	0.204	There are more than two factors here.	0
871.3515	4.0722	adaption	13	0.204	See the cat glaring at the scared mouse.	1
877.1348	3.8555	adaption	14	0.204	The lawyer tried to lose his case.	0
883.6016	4.147	adaption	15	0.204	Men strive but seldom get rich.	0
890.4017	5.2489	adaption	16	0.204	He lay prone and hardly moved a limb.	1
897.9851	4.5356	adaption	17	0.204	The hat brim was wide and too droopy.	1
905.4186	4.3325	adaption	18	0.204	The Navy attacked the big task force.	1
911.3357	4.7178	adaption	19	0.204	The grass curled around the fence post.	1
919.2021	3.4897	adaption	20	0.204	Always close the barn door tight.	0
936.2356	4.5637	adaption	21	0.204	A rod is used to catch pink salmon.	1
942.9691	3.4927	adaption	22	0.204	The boy was there when the sun rose.	0
948.1026	4.6778	adaption	23	0.204	The source of the huge river is the clear spring.	1
955.3861	3.4086	adaption	24	0.204	Kick the ball straight and follow through.	0
962.6527	4.316	adaption	25	0.204	The salt breeze came across from the sea.	1
968.3695	3.35	adaption	26	0.204	Help the woman get back to her feet.	1
