onset	duration	trial_type	trial	delay	sentence	detected_delay
60.6807	4.8421	baseline	1	0.004	Tea served from the brown jug is tasty.	0
77.7643	4.2663	baseline	2	0.004	We are sure that one war is enough.	0
87.4144	4.5337	baseline	3	0.004	The train brought our hero to the big town.	0
98.3646	3.9489	baseline	4	0.004	The dark pot hung in the front closet.	0
108.7147	3.9962	baseline	5	0.004	The rude laugh filled the empty room.	0
121.0649	4.2988	baseline	6	0.004	High seats are best for football fans.	0
130.9651	4.66	baseline	7	0.004	Carry the pail to the wall and spill it there.	0
139.7485	4.1864	baseline	8	0.004	Gray paint stretched for miles around.	0
153.8821	4.5452	baseline	9	0.004	A zestful food is the hot-cross bun.	0
164.9656	4.355	baseline	10	0.004	A dash of pepper spoils beef stew.	0
176.0158	4.334	baseline	11	0.004	Hedge apples may stain your hands green.	0
187.1825	4.5244	baseline	12	0.004	Shape the clay gently into block form.	0
196.8827	4.3179	baseline	13	0.004	Quench your thirst, then eat the crackers.	0
209.8329	4.6683	baseline	14	0.004	A joy to every child is the swan boat.	0
221.1498	4.4766	baseline	15	0.004	Tight curls get limp on rainy days.	0
231.8339	5.5975	baseline	16	0.004	A ridge on a smooth surface is a bump or flaw.	0
242.7168	4.64	baseline	17	0.004	All sat frozen and watched the screen.	0
255.2336	4.1362	baseline	18	0.004	To reach the end he needs much courage.	0
266.0004	4.7666	baseline	19	0.004	The shelves were bare of both jam or crackers.	0
278.7173	5.0864	baseline	20	0.004	A cloud of dust stung his tender eyes.	0
290.4842	4.4367	random1	1	0.112	Much of the story makes good sense.	1
300.9676	5.2626	random1	2	0.155	A siege will crack the strong defense.	1
311.7511	3.8686	random1	3	0.014	Roads are paved with sticky tar.	1
320.2846	4.9407	random1	4	0.198	He wrote down a long list of items.	1
330.8181	4.7726	random1	5	0.082	The drip of the rain made a pleasant sound.	1
340.7683	3.8681	random1	6	0.007	Fake stones shine but cost little.	1
349.1684	4.5856	random1	7	0.171	Smoke poured out of every crack.	1
358.2185	5.1971	random1	8	0.167	The sun came up to light the eastern sky.	1
367.6853	4.1122	random1	9	0.145	Grape juice and water mix well.	1
377.1021	4.8368	random1	10	0.13	Serve the hot rum to the tired heroes.	1
387.9523	4.2001	random1	11	0.034	Every word and phrase he speaks is true.	1
395.6858	5.1524	random1	12	0.252	Drive the screw straight into the wood.	1
405.2692	4.4307	random1	13	0.049	Help the weak to preserve their strength.	1
415.0861	4.6674	random1	14	0.195	Paper will dry out when wet.	1
425.0695	4.4015	random1	15	0.078	Slide the catch back and open the desk.	1
434.703	5.8452	random1	16	0.172	Sever the twine with a quick snip of the knife.	1
445.8698	5.0598	random1	17	0.161	They took their kids from the public school.	1
456.3033	5.0636	random1	18	0.153	Keep the hatch tight and the watch constant.	1
465.0701	5.4145	random1	19	0.067	He put his last cartridge into the gun and fired.	1
474.8369	4.4136	random1	20	0.114	A sullen smile gets few friends.	1
485.2204	4.1235	random1	21	0.242	Our plans right now are hazy.	1
494.6872	5.0461	random1	22	0.239	Pour the stew from the pot into the plate.	1
504.0873	4.7477	random1	23	0.093	It takes a good trap to capture a bear.	1
513.4708	4.7459	random1	24	0.239	Brass rings are sold by these natives.	1
521.7377	4.1409	random1	25	0.026	Just hoist it up and take it away.	1
