onset	duration	trial_type	trial	delay	sentence	detected_delay
48.1699	3.5971	baseline	1	0.004	An abrupt start does not win the prize.	0
61.7367	3.4509	baseline	2	0.004	The office paint was a dull, sad tan.	0
69.2702	3.1076	baseline	3	0.004	Wood is best for making toys and blocks.	0
76.0203	2.6918	baseline	4	0.004	Drop the two when you add the figures.	0
81.6537	3.1209	baseline	5	0.004	At that high level the air is pure.	0
87.3205	3.2287	baseline	6	0.004	A rag will soak up spilled water.	0
93.1038	3.3479	baseline	7	0.004	A shower of dirt fell from the hot pipes.	0
99.2206	2.9977	baseline	8	0.004	The jacket hung on the back of the wide chair.	0
104.8541	2.9867	baseline	9	0.004	He knew the skill of the great young actress.	0
110.7542	3.0771	baseline	10	0.004	A filing case is now hard to buy.	0
116.5876	3.1461	baseline	11	0.004	Even a just cause needs power to win.	0
122.671	2.9333	baseline	12	0.004	Flood the mails with requests for this book.	0
128.4377	3.1091	baseline	13	0.004	The pencil was cut to be sharp at both ends.	0
133.7545	2.767	baseline	14	0.004	A thick coat of black paint covered all.	0
138.9546	2.8376	baseline	15	0.004	A thing of small note can cause despair.	0
143.9713	3.0036	baseline	16	0.004	A strong bid may scare your partner stiff.	0
149.4214	2.9042	baseline	17	0.004	Hurdle the pit with the aid of a long pole.	0
154.6381	2.7102	baseline	18	0.004	Peep under the tent and see the clowns.	0
159.9216	3.0012	baseline	19	0.004	The leaf drifts along with a slow spin.	0
165.2716	2.914	baseline	20	0.004	Cheap clothes are flashy but don't last.	0
170.4884	3.7516	random1	1	0.175	Whitings are small fish caught in nets.	1
180.3718	3.3379	random1	2	0.124	Jerk the rope and the bell rings weakly.	1
185.872	3.7322	random1	3	0.084	They are pushed back each time they attack.	1
191.5054	3.4335	random1	4	0.118	Madam, this is the best brand of corn.	1
196.5555	3.582	random1	5	0.199	He broke his ties with groups of former friends.	1
202.2889	3.0153	random1	6	0.025	The map had an X that meant nothing.	0
207.0894	3.0216	random1	7	0.147	Try to have the court decide the case.	1
211.839	3.2707	random1	8	0.073	A waxed floor makes us lose balance.	0
216.9557	3.0727	random1	9	0.086	Some ads serve to cheat buyers.	1
221.5391	3.808	random1	10	0.077	They floated on the raft to sun their white backs.	0
227.7563	3.0934	random1	11	0.082	He ran half way to the hardware store.	0
232.5726	3.2759	random1	12	0.112	The dune rose from the edge of the water.	0
237.8061	3.449	random1	13	0.06	The set of china hit the floor with a crash.	0
243.1061	3.6196	random1	14	0.142	Those words were the cue for the actor to leave.	1
248.4896	4.0507	random1	15	0.174	The clock struck to mark the third period.	1
254.0563	3.2667	random1	16	0.246	A small creek cut across the field.	0
259.2064	2.9314	random1	17	0.04	We talked of the side show in the circus.	0
263.99	3.7864	random1	18	0.155	Cars and busses stalled in snow drifts.	1
269.2232	2.8641	random1	19	0.156	Use a pencil to write the first draft.	0
274.6899	3.1239	random1	20	0.147	This is a grand season for hikes on the road.	0
279.4401	3.2286	random1	21	0.235	The grass and bushes were wet with dew.	0
